cp,grid_point,distance_gp,mean_gp_distance
Q_8,4,43.673865990869295,325.70817019265985
Q_9,4,21.314604525465818,339.5127355365232
Q_10,4,15.838193837100393,354.8063294930276
Q_11,47,31.528102393404733,380.8042667075495
Q_12,47,42.99504001405409,363.92785835643946
Q_13,37A,38.360996793931996,348.34815174762724
Q_14,37A,39.82176176351723,334.1911457174184
Q_15,38A,52.32971353062714,321.52840697396346
Q_16,33A,53.28268763644417,310.2646003828948
Q_17,33A,28.329423169396794,300.3002965238306
Q_18,33A,3.962057616526148,291.6126708148726
Q_19,33A,21.873954107800735,285.0785017437618
Q_20,33A,46.80675311541104,280.0404352813077
Q_21,24,44.45476097675263,276.4322082715199
Q_22,24,26.488290291269426,274.34465317102627
Q_23,24,26.012755673900383,274.0202729424939
Q_24,24,43.60421534802927,275.4779839649918
R_1,19A,52.42904163245545,278.54041351855454
R_2,19A,54.72646848173157,283.26794924290874
R_3,10A,57.448819829647945,289.6549943266969
R_4,10A,39.27436603859766,297.59675504485597
R_5,10A,32.15921810123753,307.1115378459319
R_6,10A,42.137695234025614,318.25850234302146
R_7,4,43.1491580978619,330.8398111622232
R_8,4,20.2177021233167,344.6919854190596
R_9,4,14.327996125963033,360.00229643096446
R_10,48,38.857323132902636,403.93343711903276
R_11,48,48.70124013771384,385.9805642345645
R_12,37A,37.192251335657275,369.21902647200756
R_13,37A,15.742923585533289,353.6411778889093
R_14,37A,19.027513857748165,339.6976049496357
R_15,37A,41.543754010064404,327.3252028906069
R_16,33A,57.878767816723624,316.2223906250061
R_17,33A,36.24172949305732,306.4124716424316
R_18,33A,22.947866003742213,298.03495470251016
R_19,33A,31.45435698168335,291.3794565665333
R_20,23A,46.18022549225504,286.30389318391553
R_21,23A,41.329525897839176,282.7655188719431
R_22,24,49.80242592731315,280.86631203371036
R_23,24,49.55114092462391,280.6075373355485
R_24,19A,42.23146178013003,281.94256054047474
S_1,19A,27.92933147757219,284.876635431198
S_2,19A,32.03481729748425,289.59847709395336
S_3,10A,48.18391505388049,296.0024708489653
S_4,10A,23.744439328570568,303.8574114120658
S_5,10A,7.452369985199729,313.2158156859294
S_6,10A,28.229558006078022,324.61620130412865
S_7,10A,52.80065146938168,337.3636086402296
S_8,4,40.160042872627784,351.40315606188074
S_9,48,14.375399772136628,410.0393692900718
S_10,48,32.68901093832222,392.48359436024344
S_11,37A,37.53888171615123,376.00372280514375
S_12,37A,16.545198632809697,360.6401426540939
S_13,37A,19.69645271448861,346.8712542889594
S_14,37A,41.85436191708816,334.64012333803464
S_15,34,61.337134433762024,323.672023399815
S_16,33A,55.443667994824594,314.0482655943946
S_17,33A,47.824071737769906,305.88701772622346
S_18,23A,48.73506900215515,299.2389547508175
S_19,23A,26.476262072779413,294.0535140433725
S_20,23A,16.628556254041495,290.46849229262216
S_21,23A,33.19120752633,288.7713065371861
S_22,23A,56.35986685012922,288.60095176812996
S_23,19A,32.62468488976076,289.8692277278616
S_24,19A,7.8051996616899135,292.5533919461082
T_1,19A,17.524358091699575,297.33903293030573
T_2,19A,42.46075876749408,303.8344765022963
T_3,10A,28.892067263044485,311.74452625512544
T_4,10A,18.069059562807436,321.21183984003284
