cp,x,y
O_21,186064.53193647432,447899.41462542367
O_22,186063.71109480417,447874.4318095592
O_23,186062.89025587734,447849.4489934982
O_24,186062.0694196932,447824.4661772264
P_1,186061.24858625128,447799.48336076655
P_2,186060.42775555243,447774.5005441028
P_3,186059.6069275969,447749.51772723213
P_4,186058.7861023837,447724.53491016914
P_5,186057.96527991362,447699.55209290236
P_6,186057.14446018604,447674.5692754411
P_7,186056.32364320065,447649.5864577756
P_8,186055.50282895903,447624.603639906
P_9,186054.68201745918,447599.6208218415
P_10,186053.86120870305,447574.6380035729
P_11,186053.04040268913,447549.6551850987
P_12,186046.11595345364,448100.0980103098
P_13,186045.29508964333,448075.1151932898
P_14,186044.4742285754,448050.13237606414
P_15,186043.65337025042,448025.1495586542
P_16,186042.83251466873,448000.16674103733
P_17,186042.01166182852,447975.1839232259
P_18,186041.19081173147,447950.2011052029
P_19,186040.36996437784,447925.218286994
P_20,186039.54911976602,447900.2354685848
P_21,186038.72827789662,447875.2526499776
P_22,186037.9074387707,447850.26983117324
P_23,186037.08660238667,447825.287012164
P_24,186036.26576874554,447800.3041929629
Q_1,186035.44493784718,447775.32137354295
Q_2,186034.62410969072,447750.3385539335
Q_3,186033.80328427782,447725.3557341303
Q_4,186032.98246160682,447700.3729141258
Q_5,186032.1616416784,447675.39009391726
Q_6,186031.34082449292,447650.40727351373
Q_7,186030.52001004992,447625.424452895
Q_8,186029.69919834947,447600.4416320922
Q_9,186028.87838939126,447575.45881107345
Q_10,186028.05758317618,447550.4759898616
Q_11,186021.13313558785,448100.9188756187
Q_12,186020.3122715804,448075.93605585006
Q_13,186019.4914103151,448050.9532358917
Q_14,186018.67055179243,448025.9704157271
Q_15,186017.84969601178,448000.98759536666
Q_16,186017.02884297393,447976.00477481115
Q_17,186016.20799267865,447951.0219540516
Q_18,186015.38714512525,447926.03913309553
Q_19,186014.56630031476,447901.05631194555
Q_20,186013.74545824662,447876.07349059155
Q_21,186012.92461892107,447851.09066904604
Q_22,186012.10378233777,447826.1078472978
Q_23,186011.28294849666,447801.1250253477
Q_24,186010.4621173984,447776.14220319164
R_1,186009.64128904277,447751.1593808435
R_2,186008.8204634287,447726.1765582929
R_3,186007.99964055783,447701.1937355494
R_4,186007.1788204292,447676.21091259626
R_5,186006.35800304264,447651.2280894427
R_6,186005.537188398,447626.2452660975
R_7,186004.71637649686,447601.2624425316
R_8,186003.89556733717,447576.27961877425
R_9,186003.0747609206,447551.29679482314
R_10,185996.97118192835,448126.72256341804
R_11,185996.15031498062,448101.7397411142
R_12,185995.3294507752,448076.75691860705
R_13,185994.5085893119,448051.774095896
R_14,185993.68773059128,448026.7912729953
R_15,185992.86687461258,448001.80844989343
R_16,185992.04602137627,447976.8256265906
R_17,185991.22517088248,447951.842803095
R_18,185990.40432313058,447926.859979394
