est_method,cp_time,dets,error,habitat
knn,5,36,213,3
knn,5,36,236,3
knn,5,36,221,3
knn,5,22,171,4
knn,5,22,202,4
knn,5,22,132,4
knn,5,22,125,4
knn,5,22,180,4
knn,5,22,146,4
knn,5,29,34,4
knn,5,29,134,4
knn,5,29,95,4
knn,5,21,136,4
knn,5,21,127,4
knn,5,21,146,4
knn,5,32,142,4
knn,5,32,248,4
knn,5,32,216,4
knn,5,35,160,4
knn,5,35,86,4
knn,5,35,95,4
knn,5,29,35,5
knn,5,29,50,5
knn,5,21,152,5
knn,5,21,37,5
knn,5,21,49,5
knn,5,27,411,5
knn,5,27,406,5
knn,5,27,109,5
knn,5,17,364,4
knn,5,17,163,4
knn,5,17,188,4
knn,5,37,213,4
knn,5,37,26,4
knn,5,37,261,4
knn,5,25,300,5
knn,5,25,93,5
knn,5,25,97,5
knn,5,35,125,4
knn,5,35,56,4
knn,5,35,100,4
knn,5,28,292,4
knn,5,28,142,4
knn,5,28,401,4
knn,5,50,223,5
knn,5,50,178,5
knn,5,50,77,5
knn,5,49,183,4
knn,5,49,30,4
knn,5,49,84,4
knn,5,34,231,4
knn,5,34,208,4
knn,5,34,24,4
knn,5,36,194,4
knn,5,36,139,4
knn,5,36,157,4
knn,5,38,231,4
knn,5,38,218,4
knn,5,38,100,4
knn,5,32,212,4
knn,5,32,118,4
knn,5,32,141,4
knn,5,32,168,4
knn,5,32,140,4
knn,5,32,132,4
knn,5,24,162,5
knn,5,24,139,5
knn,5,24,60,5
knn,5,36,87,4
knn,5,36,141,4
knn,5,36,89,4
knn,5,25,129,4
knn,5,25,37,4
knn,5,23,148,4
knn,5,23,25,4
knn,5,23,74,4
knn,5,26,125,2
knn,5,26,145,2
knn,5,26,37,2
knn,5,37,84,2
knn,5,37,117,2
knn,5,37,67,2
knn,5,26,121,4
knn,5,26,144,4
knn,5,26,92,4
knn,5,35,37,4
knn,5,35,243,4
knn,5,35,220,4
knn,5,42,34,4
knn,5,42,19,4
knn,5,42,181,4
knn,5,43,17,4
knn,5,43,47,4
knn,5,43,43,4
knn,5,29,164,4
knn,5,29,197,4
knn,5,29,324,4
knn,5,28,425,4
knn,5,28,372,4
knn,5,28,75,4
knn,5,17,410,4
knn,5,17,173,4
knn,5,17,206,4
knn,5,40,50,4
knn,5,40,78,4
knn,5,40,287,4
knn,5,40,152,4
knn,5,40,132,4
knn,5,40,90,4
knn,5,47,251,4
knn,5,47,145,4
knn,5,47,108,4
knn,5,48,115,4
knn,5,48,65,4
knn,5,48,182,4
knn,5,17,238,4
knn,5,17,196,4
knn,5,17,248,4
knn,5,33,224,4
knn,5,33,157,4
knn,5,33,51,4
knn,5,15,215,4
knn,5,15,212,4
knn,5,15,185,4
knn,5,27,194,4
knn,5,27,157,4
knn,5,27,148,4
knn,5,52,194,3
knn,5,52,167,3
knn,5,52,130,3
knn,5,47,8,4
knn,5,47,26,4
knn,5,47,71,4
knn,5,48,51,4
knn,5,48,30,4
knn,5,48,42,4
knn,5,43,323,2
knn,5,43,34,2
knn,5,43,34,2
knn,5,33,158,2
knn,5,33,76,2
knn,5,33,127,2
knn,5,37,37,2
knn,5,37,42,2
knn,5,37,149,2
knn,5,50,45,2
knn,5,50,108,2
knn,5,50,151,2
knn,5,40,67,4
knn,5,40,56,4
knn,5,40,175,4
knn,5,56,35,4
knn,5,56,68,4
knn,5,56,79,4
knn,5,61,35,4
knn,5,61,56,4
knn,5,61,59,4
knn,5,61,110,3
knn,5,61,47,3
knn,5,61,63,3
knn,5,72,26,3
knn,5,72,140,3
knn,5,72,69,3
knn,5,43,128,4
knn,5,43,53,4
knn,5,43,421,4
knn,5,56,356,4
knn,5,56,18,4
knn,5,56,26,4
knn,5,47,118,4
knn,5,47,93,4
knn,5,47,132,4
knn,5,49,118,4
knn,5,49,150,4
knn,5,49,97,4
knn,5,51,135,4
knn,5,51,127,4
knn,5,51,150,4
knn,5,61,219,3
knn,5,61,34,3
knn,5,61,72,3
knn,5,64,75,3
knn,5,64,118,3
knn,5,64,34,3
knn,5,55,153,4
knn,5,55,59,4
knn,5,55,27,4
knn,5,28,254,5
knn,5,28,298,5
knn,5,28,60,5
knn,5,51,190,5
knn,5,51,90,5
knn,5,51,100,5
knn,5,33,116,4
knn,5,33,219,4
knn,5,33,185,4
knn,5,40,203,4
knn,5,40,45,4
knn,5,40,54,4
knn,5,54,111,4
knn,5,54,50,4
knn,5,54,146,4
knn,5,44,182,4
knn,5,44,142,4
knn,5,44,26,4
knn,5,50,60,2
knn,5,50,67,2
knn,5,50,16,2
knn,5,41,58,1
knn,5,41,142,1
knn,5,41,42,1
knn,5,47,61,1
knn,5,47,59,1
knn,5,47,151,1
knn,5,34,167,1
knn,5,34,12,1
knn,5,34,69,1
knn,5,30,604,4
knn,5,30,71,4
knn,5,30,41,4
knn,5,40,24,5
knn,5,40,38,5
knn,5,40,25,5
knn,5,28,559,4
knn,5,28,19,4
knn,5,28,34,4
knn,5,49,100,4
knn,5,49,47,4
knn,5,49,45,4
knn,5,50,125,5
knn,5,50,67,5
knn,5,50,25,5
knn,5,42,112,5
knn,5,42,51,5
knn,5,42,347,5
knn,5,54,100,5
knn,5,54,74,5
knn,5,54,9,5
knn,5,31,477,2
knn,5,31,136,2
knn,5,31,134,2
knn,5,43,110,2
knn,5,43,33,2
knn,5,43,182,2
knn,5,55,56,2
knn,5,55,69,2
knn,5,55,42,2
knn,5,49,101,2
knn,5,49,393,2
knn,5,49,67,2
knn,5,52,12,5
knn,5,52,85,5
knn,5,52,77,5
knn,5,43,111,4
knn,5,43,71,4
knn,5,43,154,4
knn,5,39,270,5
knn,5,39,95,5
knn,5,39,61,5
knn,5,42,234,5
knn,5,42,47,5
knn,5,42,101,5
knn,5,56,182,3
knn,5,56,12,3
knn,5,56,71,3
knn,5,40,16,3
knn,5,40,18,3
knn,5,40,25,3
knn,5,42,179,3
knn,5,42,43,3
knn,5,42,223,3
knn,5,90,101,4
knn,5,90,83,4
knn,5,90,37,4
knn,5,56,26,4
knn,5,56,30,4
knn,5,56,19,4
knn,5,38,276,2
knn,5,38,67,2
knn,5,38,205,2
knn,5,65,8,3
knn,5,65,12,3
knn,5,65,71,3
knn,5,62,26,2
knn,5,62,98,2
knn,5,62,30,2
knn,5,53,472,2
knn,5,53,59,2
knn,5,53,51,2
knn,5,54,109,2
knn,5,54,148,2
knn,5,54,109,2
knn,5,59,0,4
knn,5,59,341,4
knn,5,59,63,4
knn,5,62,60,4
knn,5,62,25,4
knn,5,62,118,4
knn,5,121,52,4
knn,5,121,43,4
knn,5,121,86,4
knn,5,49,63,4
knn,5,49,235,4
knn,5,49,42,4
knn,5,47,37,4
knn,5,47,69,4
knn,5,47,226,4
knn,5,31,42,4
knn,5,31,136,4
knn,5,31,269,4
knn,5,48,66,2
knn,5,48,113,2
knn,5,48,190,2
knn,5,40,173,2
knn,5,40,82,2
knn,5,40,129,2
knn,5,43,197,2
knn,5,43,53,2
knn,5,43,42,2
knn,5,19,175,1
knn,5,19,275,1
knn,5,19,186,1
knn,5,47,90,1
knn,5,47,102,1
knn,5,47,177,1
knn,5,41,19,5
knn,5,41,45,5
knn,5,41,42,5
knn,5,41,19,5
knn,5,41,17,5
knn,5,41,56,5
knn,5,32,56,5
knn,5,32,67,5
knn,5,32,65,5
knn,5,46,95,2
knn,5,46,537,2
knn,5,46,102,2
knn,5,44,352,3
knn,5,44,25,3
knn,5,44,108,3
knn,5,45,53,2
knn,5,45,117,2
knn,5,45,220,2
knn,5,42,116,3
knn,5,42,245,3
knn,5,42,150,3
knn,5,35,117,3
knn,5,35,90,3
knn,5,35,201,3
knn,5,62,138,3
knn,5,62,36,3
knn,5,62,117,3
knn,5,65,72,4
knn,5,65,88,4
knn,5,65,67,4
knn,5,56,19,2
knn,5,56,218,2
knn,5,56,238,2
knn,5,43,108,4
knn,5,43,60,4
knn,5,43,296,4
knn,5,30,220,5
knn,5,30,271,5
knn,5,30,237,5
knn,5,60,182,5
knn,5,60,24,5
knn,5,60,186,5
knn,5,50,123,4
knn,5,50,33,4
knn,5,50,269,4
knn,5,40,195,3
knn,5,40,106,3
knn,5,40,67,3
knn,5,42,131,3
knn,5,42,123,3
knn,5,42,53,3
knn,5,48,92,2
knn,5,48,143,2
knn,5,48,12,2
knn,5,49,56,2
knn,5,49,260,2
knn,5,49,85,2
knn,5,61,79,1
knn,5,61,118,1
knn,5,61,35,1
knn,5,39,637,3
knn,5,39,17,3
knn,5,39,112,3
knn,5,49,37,3
knn,5,49,90,3
knn,5,49,42,3
knn,5,57,30,1
knn,5,57,61,1
knn,5,57,63,1
knn,5,130,52,2
knn,5,130,42,2
knn,5,130,75,2
knn,5,26,515,2
knn,5,26,153,2
knn,5,26,198,2
knn,5,57,26,1
knn,5,57,205,1
knn,5,57,37,1
knn,5,50,150,3
knn,5,50,397,3
knn,5,50,29,3
knn,5,62,89,3
knn,5,62,194,3
knn,5,62,43,3
knn,5,67,60,2
knn,5,67,93,2
knn,5,67,87,2
knn,5,53,174,2
knn,5,53,193,2
knn,5,53,58,2
knn,5,53,63,4
knn,5,53,97,4
knn,5,53,102,4
knn,5,30,42,4
knn,5,30,319,4
knn,5,30,51,4
knn,5,62,12,4
knn,5,62,78,4
knn,5,62,108,4
knn,5,53,71,2
knn,5,53,209,2
knn,5,53,44,2
knn,5,54,33,2
knn,5,54,166,2
knn,5,54,42,2
knn,5,47,198,4
knn,5,47,56,4
knn,5,47,82,4
knn,5,51,212,2
knn,5,51,76,2
knn,5,51,26,2
knn,5,88,23,2
knn,5,88,33,2
knn,5,88,45,2
knn,5,94,35,2
knn,5,94,41,2
knn,5,94,92,2
knn,5,37,61,5
knn,5,37,80,5
knn,5,37,134,5
knn,5,35,56,5
knn,5,35,79,5
knn,5,35,355,5
knn,5,27,631,4
knn,5,27,100,4
knn,5,27,56,4
knn,5,57,56,4
knn,5,57,48,4
knn,5,57,117,4
knn,5,40,127,4
knn,5,40,183,4
knn,5,40,59,4
knn,5,105,50,4
knn,5,105,9,4
knn,5,105,50,4
knn,5,36,136,4
knn,5,36,552,4
knn,5,36,288,4
knn,5,52,395,3
knn,5,52,95,3
knn,5,52,56,3
knn,5,33,354,3
knn,5,33,176,3
knn,5,33,51,3
knn,5,54,94,3
knn,5,54,33,3
knn,5,54,172,3
knn,5,50,118,3
knn,5,50,79,3
knn,5,50,169,3
knn,5,36,276,5
knn,5,36,380,5
knn,5,36,61,5
knn,5,45,193,4
knn,5,45,184,4
knn,5,45,165,4
knn,5,59,103,3
knn,5,59,30,3
knn,5,59,283,3
knn,5,60,155,3
knn,5,60,267,3
knn,5,60,50,3
knn,5,48,124,3
knn,5,48,157,3
knn,5,48,115,3
knn,5,56,195,4
knn,5,56,105,4
knn,5,56,104,4
knn,5,55,192,2
knn,5,55,42,2
knn,5,55,17,2
knn,5,64,164,2
knn,5,64,59,2
knn,5,64,139,2
knn,5,60,85,2
knn,5,60,59,2
knn,5,60,17,2
knn,5,40,236,4
knn,5,40,389,4
knn,5,40,101,4
knn,5,59,30,1
knn,5,59,30,1
knn,5,59,42,1
knn,5,40,274,2
knn,5,40,351,2
knn,5,40,150,2
knn,5,37,683,2
knn,5,37,42,2
knn,5,37,26,2
knn,5,36,84,2
knn,5,36,51,2
knn,5,36,42,2
knn,5,56,45,2
knn,5,56,45,2
knn,5,56,647,2
knn,5,46,365,2
knn,5,46,116,2
knn,5,46,625,2
knn,5,60,58,2
knn,5,60,124,2
knn,5,60,195,2
knn,5,38,97,2
knn,5,38,338,2
knn,5,38,110,2
knn,5,55,90,2
knn,5,55,34,2
knn,5,55,248,2
knn,5,56,539,2
knn,5,56,111,2
knn,5,56,118,2
knn,5,61,77,2
knn,5,61,134,2
knn,5,61,418,2
knn,5,65,136,2
knn,5,65,68,2
knn,5,65,530,2
knn,5,50,234,1
knn,5,50,415,1
knn,5,50,82,1
knn,5,60,127,2
knn,5,60,34,2
knn,5,60,120,2
knn,5,51,271,4
knn,5,51,227,4
knn,5,51,119,4
knn,5,42,241,2
knn,5,42,147,2
knn,5,42,290,2
knn,5,47,190,2
knn,5,47,389,2
knn,5,47,177,2
