est_method,error,nodes,node_count
Multilateration,45.05794010722902,Subset,NA
Multilateration,60.85097157952666,Subset,NA
Multilateration,69.32188510859851,Subset,NA
Multilateration,57.25831398796975,Subset,NA
Multilateration,54.96811429225136,Subset,NA
Multilateration,53.83398392575562,Subset,NA
Multilateration,70.54614654980641,Subset,NA
Multilateration,69.89506053896136,Subset,NA
Multilateration,70.41492657393626,Subset,NA
Multilateration,87.97334488356226,Subset,NA
Multilateration,88.02202597749648,Subset,NA
Multilateration,90.63329828429424,Subset,NA
Multilateration,41.56295564207122,Subset,NA
Multilateration,45.60544203577935,Subset,NA
Multilateration,39.50478963545886,Subset,NA
Multilateration,51.26907364606701,Subset,NA
Multilateration,50.82779509615408,Subset,NA
Multilateration,51.43949933694871,Subset,NA
Multilateration,44.80729040717793,Subset,NA
Multilateration,8.168890015514064,Subset,NA
Multilateration,20.56221055822269,Subset,NA
Multilateration,55.905933462147765,Subset,NA
Multilateration,41.636065300484496,Subset,NA
Multilateration,49.59337774811065,Subset,NA
Multilateration,55.17279321491974,Subset,NA
Multilateration,58.672083542868435,Subset,NA
Multilateration,23.349167192640586,Subset,NA
Multilateration,27.86351121220129,Subset,NA
Multilateration,13.975336723724864,Subset,NA
Multilateration,22.26786137374558,Subset,NA
Multilateration,16.34031559591475,Subset,NA
Multilateration,17.84574652799009,Subset,NA
Multilateration,20.8993291204827,Subset,NA
Multilateration,10.237755102301607,Subset,NA
Multilateration,9.592227056882118,Subset,NA
Multilateration,10.354520408687348,Subset,NA
Multilateration,23.14598490765412,Subset,NA
Multilateration,43.896338203973905,Subset,NA
Multilateration,33.51100324863301,Subset,NA
Multilateration,9.379726347130706,Subset,NA
Multilateration,13.217552436879664,Subset,NA
Multilateration,16.487838293926195,Subset,NA
Multilateration,43.27209535971557,Subset,NA
Multilateration,12.822765923053664,Subset,NA
Multilateration,17.868279181785777,Subset,NA
Multilateration,13.058268315827002,Subset,NA
Multilateration,15.414064934915524,Subset,NA
Multilateration,12.45129230696397,Subset,NA
Multilateration,13.58808115362862,Subset,NA
Multilateration,21.445808005684047,Subset,NA
Multilateration,14.710479976103212,Subset,NA
Multilateration,35.954553249762036,Subset,NA
Multilateration,32.75320890714579,Subset,NA
Multilateration,40.54690320662619,Subset,NA
Multilateration,38.56820080177899,Subset,NA
Multilateration,43.71109005427122,Subset,NA
Multilateration,34.93337919368309,Subset,NA
Multilateration,39.142492875739954,Subset,NA
Multilateration,24.725779068058472,Subset,NA
Multilateration,48.49601026012029,Subset,NA
Multilateration,27.673384618110305,Subset,NA
Multilateration,30.906875110656312,Subset,NA
Multilateration,31.718426170379093,Subset,NA
Multilateration,33.910334823071665,Subset,NA
Multilateration,44.90427321127923,Subset,NA
Multilateration,59.64507819281027,Subset,NA
Multilateration,16.400153046235555,Subset,NA
Multilateration,25.395245036213943,Subset,NA
Multilateration,48.16208960701934,Subset,NA
Multilateration,16.97835123286336,Subset,NA
Multilateration,20.60703001055456,Subset,NA
Multilateration,21.561122258923067,Subset,NA
Multilateration,35.46584164215635,Subset,NA
Multilateration,34.58865513989748,Subset,NA
Multilateration,34.855196244779734,Subset,NA
Multilateration,55.46417977670331,Subset,NA
Multilateration,52.62029173328173,Subset,NA
Multilateration,52.82448389044325,Subset,NA
Multilateration,71.08108109359428,Subset,NA
Multilateration,71.67359591428183,Subset,NA
Multilateration,76.66641875204239,Subset,NA
Multilateration,70.63723721852584,Subset,NA
Multilateration,33.087024417852724,Subset,NA
Multilateration,21.524452580426537,Subset,NA
Multilateration,76.09964298325298,Subset,NA
Multilateration,91.5325521718149,Subset,NA
Multilateration,78.66205012398355,Subset,NA
Multilateration,42.579431732050466,Subset,NA
Multilateration,32.90660276254676,Subset,NA
Multilateration,61.469583658077035,Subset,NA
Multilateration,34.070104781022465,Subset,NA
Multilateration,49.04181816505932,Subset,NA
Multilateration,43.67102896628756,Subset,NA
Multilateration,42.81735503452258,Subset,NA
Multilateration,50.7959572732476,Subset,NA
Multilateration,48.918665873281505,Subset,NA
Multilateration,40.05892229837766,Subset,NA
Multilateration,51.829968227932035,Subset,NA
Multilateration,20.97128284596722,Subset,NA
Multilateration,37.455264922938824,Subset,NA
Multilateration,39.29807829365244,Subset,NA
Multilateration,58.2934371487862,Subset,NA
Multilateration,36.87950005247152,Subset,NA
Multilateration,34.73983044026959,Subset,NA
Multilateration,30.333225324480743,Subset,NA
