error,est,nearest_gp_det,distance_gp,dist_center,habitat
40.470487270696864,Fingerprinting,TRUE,8.900980430166179,364.9149359811734,3
50.6336429390427,Fingerprinting,TRUE,8.900980430166179,364.9149359811734,3
26.551229655088207,Fingerprinting,TRUE,27.408603560413468,351.55956626104984,3
30.13451444302334,Fingerprinting,TRUE,27.408603560413468,351.55956626104984,3
29.590799706744303,Fingerprinting,TRUE,27.408603560413468,351.55956626104984,3
6.2024670286829435,Fingerprinting,TRUE,51.699723929689185,339.52223308471247,3
11.459015261441012,Fingerprinting,TRUE,51.699723929689185,339.52223308471247,3
9.136008413383438,Fingerprinting,TRUE,51.699723929689185,339.52223308471247,3
48.184668920673474,Fingerprinting,FALSE,46.91248191451553,356.74265296966144,4
24.99625322929565,Fingerprinting,FALSE,46.91248191451553,356.74265296966144,4
13.12242388397677,Fingerprinting,FALSE,46.91248191451553,356.74265296966144,4
33.913609077378155,Fingerprinting,TRUE,53.434081450572705,361.984664521681,1
41.418501941785166,Fingerprinting,TRUE,53.434081450572705,361.984664521681,1
34.45504227669374,Fingerprinting,TRUE,53.434081450572705,361.984664521681,1
29.55739279941532,Fingerprinting,FALSE,34.43686970232322,352.0853809444301,4
29.991720708962976,Fingerprinting,FALSE,34.43686970232322,352.0853809444301,4
60.64683269305777,Fingerprinting,FALSE,34.43686970232322,352.0853809444301,4
17.667976091463895,Fingerprinting,FALSE,19.768531093849255,343.7227568876466,4
7.148952181283826,Fingerprinting,FALSE,19.768531093849255,343.7227568876466,4
24.996255768366726,Fingerprinting,FALSE,19.768531093849255,343.7227568876466,4
26.849110486689003,Fingerprinting,FALSE,29.074338355476183,337.0112041607747,NA
0.68940213236639,Fingerprinting,FALSE,29.074338355476183,337.0112041607747,NA
24.996255988818728,Fingerprinting,FALSE,29.074338355476183,337.0112041607747,NA
16.42911003813918,Fingerprinting,TRUE,49.15080638625184,332.05085432276445,4
24.9962559887596,Fingerprinting,TRUE,49.15080638625184,332.05085432276445,4
24.996255988876907,Fingerprinting,TRUE,49.15080638625184,332.05085432276445,4
41.56846573595044,Fingerprinting,TRUE,35.384204468271655,328.9209448837528,NA
22.460994141165163,Fingerprinting,TRUE,35.384204468271655,328.9209448837528,NA
41.06757448551153,Fingerprinting,TRUE,35.384204468271655,328.9209448837528,NA
78.46561920293094,Fingerprinting,FALSE,52.76559063279059,328.9476628335087,4
34.30018053721256,Fingerprinting,FALSE,52.76559063279059,328.9476628335087,4
