tag,cp,error,x_est,y_est,est,nearest_gp_det,grid_point,distance_gp,mean_gp_distance,dist_center,habitat
78524B34,A_21,27.614720630192995,186399.58276179095,447508.7584330025,Fingerprinting,FALSE,14,15.665408818258696,472.17484093601746,425.2806197142109,4
2D331955,A_22,58.38657929805056,186416.3394045714,447929.4804347609,Fingerprinting,TRUE,43,8.900980430166179,425.188609416079,364.9149359811734,3
4C2A341E,A_22,40.47048726976499,186394.12135384505,447954.87195625505,Fingerprinting,TRUE,43,8.900980430166179,425.188609416079,364.9149359811734,3
78524B34,A_22,50.63364293736449,186423.9605083358,447937.6246332261,Fingerprinting,TRUE,43,8.900980430166179,425.188609416079,364.9149359811734,3
78524B34,A_23,26.551229653241737,186424.88086621917,447937.5943935486,Fingerprinting,TRUE,43,27.408603560413468,414.5831205889163,351.55956626104984,3
2D331955,A_23,30.13451444087149,186432.75449826487,447937.3356938061,Fingerprinting,TRUE,43,27.408603560413468,414.5831205889163,351.55956626104984,3
4C2A341E,A_23,29.590799704622555,186431.76097355876,447937.3683375156,Fingerprinting,TRUE,43,27.408603560413468,414.5831205889163,351.55956626104984,3
78524B34,A_24,6.202467028603741,186422.13189011868,447937.68471518985,Fingerprinting,TRUE,43,51.699723929689185,405.2275763344386,339.52223308471247,3
2D331955,A_24,11.459015260654736,186422.8900201845,447928.7831409183,Fingerprinting,TRUE,43,51.699723929689185,405.2275763344386,339.52223308471247,3
4C2A341E,A_24,9.136008413093762,186416.8159291715,447946.9816178485,Fingerprinting,TRUE,43,51.699723929689185,405.2275763344386,339.52223308471247,3
2D331955,A_3,48.184668920859544,186414.71548657483,447831.0808201816,Fingerprinting,FALSE,42A,46.91248191451553,418.98466367370577,356.74265296966144,4
4C2A341E,A_3,24.99625322667867,186463.43579217076,447861.298389964,Fingerprinting,FALSE,42A,46.91248191451553,418.98466367370577,356.74265296966144,4
78524B34,A_3,13.122423881541836,186456.0598359581,447847.6834849926,Fingerprinting,FALSE,42A,46.91248191451553,418.98466367370577,356.74265296966144,4
78524B34,A_4,33.913609077261135,186407.0202252443,447938.18123107223,Fingerprinting,TRUE,43,53.434081450572705,422.96103368892216,361.984664521681,1
2D331955,A_4,41.4185019417053,186399.51938004716,447938.4276823549,Fingerprinting,TRUE,43,53.434081450572705,422.96103368892216,361.984664521681,1
4C2A341E,A_4,34.45504227584603,186407.69883200724,447946.2217857286,Fingerprinting,TRUE,43,53.434081450572705,422.96103368892216,361.984664521681,1
2D331955,A_5,29.5573927962221,186455.03959234012,447886.58399915166,Fingerprinting,FALSE,42A,34.43686970232322,414.9546177524467,352.0853809444301,4
78524B34,A_5,29.991720709913302,186418.50726067167,447932.90509833494,Fingerprinting,FALSE,42A,34.43686970232322,414.9546177524467,352.0853809444301,4
4C2A341E,A_5,60.646832691677965,186389.00168525937,447879.41151158954,Fingerprinting,FALSE,42A,34.43686970232322,414.9546177524467,352.0853809444301,4
78524B34,A_6,17.667976092615444,186455.14471434656,447879.3384142418,Fingerprinting,FALSE,42A,19.768531093849255,408.2635535964187,343.7227568876466,4
2D331955,A_6,8.908957333842743,186439.56641620572,447896.00615432847,Fingerprinting,FALSE,42A,19.768531093849255,408.2635535964187,343.7227568876466,4
4C2A341E,A_6,24.996255765051636,186440.0946992826,447912.0847764027,Fingerprinting,FALSE,42A,19.768531093849255,408.2635535964187,343.7227568876466,4
4C2A341E,A_7,9.535661952371544,186438.13988456575,447852.58870803623,Fingerprinting,FALSE,42A,29.074338355476183,403.2323104781005,337.0112041607747,NA
2D331955,A_7,0.6894021362050685,186438.43038301263,447861.43019679026,Fingerprinting,FALSE,42A,29.074338355476183,403.2323104781005,337.0112041607747,NA
78524B34,A_7,24.996255992715582,186437.6321832343,447837.13645229675,Fingerprinting,FALSE,42A,29.074338355476183,403.2323104781005,337.0112041607747,NA
2D331955,A_8,24.99625599265741,186438.4530191717,447862.11922720296,Fingerprinting,TRUE,28A,49.15080638625184,399.6298197474807,332.05085432276445,4
78524B34,A_8,24.99625599265645,186438.4530191717,447862.11922720296,Fingerprinting,TRUE,28A,49.15080638625184,399.6298197474807,332.05085432276445,4
4C2A341E,A_8,24.99625599265645,186438.4530191717,447862.11922720296,Fingerprinting,TRUE,28A,49.15080638625184,399.6298197474807,332.05085432276445,4
4C2A341E,A_9,41.568465737790866,186462.88479128093,447844.52825063845,Fingerprinting,TRUE,28A,35.384204468271655,397.32414358467406,328.9209448837528,NA
2D331955,A_9,22.46099414143237,186414.4415290943,447814.1754013448,Fingerprinting,TRUE,28A,35.384204468271655,397.32414358467406,328.9209448837528,NA
78524B34,A_9,41.06757448783924,186438.3879837419,447853.1909760863,Fingerprinting,TRUE,28A,35.384204468271655,397.32414358467406,328.9209448837528,NA
2D1E4C2A,B_1,78.46561920199234,186343.0225020537,447881.922258471,Fingerprinting,FALSE,42A,52.76559063279059,397.11994364636513,328.9476628335087,4
2D2D5555,B_1,34.300180539108254,186391.47015462336,447937.7565575079,Fingerprinting,FALSE,42A,52.76559063279059,397.11994364636513,328.9476628335087,4
521E521E,B_1,32.13264875185041,186398.661615711,447940.50805535633,Fingerprinting,FALSE,42A,52.76559063279059,397.11994364636513,328.9476628335087,4
2D1E4C2A,B_10,67.24612874736712,186341.28444583467,447698.4417501164,Fingerprinting,FALSE,27,34.77751886139663,388.38760649745126,317.5492529162726,4
2D2D5555,B_10,23.302349998590685,186391.06268348664,447704.35126189486,Fingerprinting,FALSE,27,34.77751886139663,388.38760649745126,317.5492529162726,4
521E521E,B_10,7.26664561150847,186407.14009885705,447695.3037290962,Fingerprinting,FALSE,27,34.77751886139663,388.38760649745126,317.5492529162726,4
2D1E4C2A,B_11,26.26082825546382,186381.55040307037,447656.2335026999,Fingerprinting,FALSE,27,46.262912520569806,394.522203857627,325.988874279432,4
2D2D5555,B_11,126.1883801947334,186394.15949624655,447537.5346408225,Fingerprinting,FALSE,27,46.262912520569806,394.522203857627,325.988874279432,4
521E521E,B_11,34.71571984456761,186388.6393470423,447633.55501399864,Fingerprinting,FALSE,27,46.262912520569806,394.522203857627,325.988874279432,4
2D1E4C2A,B_14,67.7675883238174,186393.37565369,447521.2714425437,Fingerprinting,TRUE,15A2,37.98256685612867,419.9407552491452,360.6416511373008,3
521E521E,B_14,41.177389899950334,186379.41377374105,447555.4307911524,Fingerprinting,TRUE,15A2,37.98256685612867,419.9407552491452,360.6416511373008,3
2D2D5555,B_14,109.8693132371039,186359.254610228,447487.9824158005,Fingerprinting,TRUE,15A2,37.98256685612867,419.9407552491452,360.6416511373008,3
2D1E4C2A,B_15,7.4553674646136034,186396.1672041832,447563.32702622213,Fingerprinting,TRUE,15A2,24.915496152220037,430.6382675156802,374.8247839469281,NA
2D2D5555,B_15,34.1366812385603,186392.92751147583,447530.72796992585,Fingerprinting,TRUE,15A2,24.915496152220037,430.6382675156802,374.8247839469281,NA
521E521E,B_15,48.95381518809754,186401.7942581145,447514.22697659896,Fingerprinting,TRUE,15A2,24.915496152220037,430.6382675156802,374.8247839469281,NA
2D1E4C2A,B_16,26.848150362145688,186411.77198194357,447512.8594079651,Fingerprinting,TRUE,15A2,32.380776322872535,442.72156438916466,390.09593280229853,3
521E521E,B_16,89.99412334998163,186405.7547462962,447628.1095302397,Fingerprinting,TRUE,15A2,32.380776322872535,442.72156438916466,390.09593280229853,3
