tag,cp,x,y,error,x_est,y_est
4C2A341E,A_9,186436.81135004293,447812.1536771926,57.820404495555955,186380.01415249062,447801.32420230994
78524B34,A_9,186436.81135004293,447812.1536771926,52.2268887948474,186386.2754368694,447798.9715152718
2D331955,A_8,186437.6321832343,447837.13645229675,98.64694632515916,186348.64808112715,447794.55653224676
4C2A341E,A_8,186437.6321832343,447837.13645229675,88.57052119053253,186351.77895914981,447815.3658037473
78524B34,A_8,186437.6321832343,447837.13645229675,92.83134033617613,186361.53024301922,447783.97488305625
2D331955,A_7,186438.4530191717,447862.119227203,113.99544085414716,186330.66676201165,447825.01015414856
4C2A341E,A_7,186438.4530191717,447862.119227203,114.63468208816806,186333.7596155967,447815.42445677484
78524B34,A_7,186438.4530191717,447862.119227203,123.06778420824728,186327.13697901845,447809.63667091494
2D331955,A_6,186439.2738578539,447887.1020019046,132.57375114870436,186356.21007012046,447783.77627102885
4C2A341E,A_6,186439.2738578539,447887.1020019046,101.41022445334224,186359.77400293542,447824.14323212934
78524B34,A_6,186439.2738578539,447887.1020019046,107.26259831113775,186376.40586160094,447800.1946947113
2D331955,A_3,186462.6149564332,447836.3156178187,102.28547762922877,186365.03770934782,447805.6398980214
4C2A341E,A_3,186462.6149564332,447836.3156178187,99.91773030785788,186365.45061079317,447813.02092386875
78524B34,A_3,186462.6149564332,447836.3156178187,108.92862153328943,186363.10889362497,447791.9987129905
2D331955,A_2,186463.43579217076,447861.298389964,113.42595470528997,186367.7600450762,447800.37549920275
4C2A341E,A_2,186463.43579217076,447861.298389964,107.8803146607935,186357.12722556727,447842.9503394402
78524B34,A_2,186463.43579217076,447861.298389964,122.5739501235398,186359.01027823245,447797.11361538613
2D331955,A_16,186431.0655945817,447637.274245887,221.951776467966,186372.3764928133,447851.32606300357
4C2A341E,A_16,186431.0655945817,447637.274245887,214.7423334272325,186364.98499851394,447841.59660048655
78524B34,A_16,186431.0655945817,447637.274245887,209.2011445648507,186333.88023307326,447822.53116045624
2D331955,A_14,186432.70722527133,447687.2397986878,182.7625802705277,186342.94574413885,447846.4410463338
4C2A341E,A_14,186432.70722527133,447687.2397986878,183.03712907359565,186352.57737682344,447851.8052811172
78524B34,A_14,186432.70722527133,447687.2397986878,167.9405046929189,186348.8434713283,447832.7419769914
2D331955,A_12,186434.3488669429,447737.20535069826,106.50079841267389,186377.99623252833,447827.57570345333
4C2A341E,A_12,186434.3488669429,447737.20535069826,104.13100744268506,186362.60352820807,447812.6763589124
78524B34,A_12,186434.3488669429,447737.20535069826,99.7228495513476,186368.63405585734,447812.2134191085
524B0778,T_6,185954.750724564,447602.9040640374,13.360574752915406,185941.44230706178,447601.7246653282
664B1E61,T_6,185954.750724564,447602.9040640374,30.442850431712852,185927.26987031012,447616.0025292866
78521E33,T_6,185954.750724564,447602.9040640374,27.187869073110537,185932.7548935895,447618.8841655539
524B0778,T_5,185955.57153686832,447627.8868930828,27.149859882643018,185981.81675778987,447634.8369485089
664B1E61,T_5,185955.57153686832,447627.8868930828,24.640700298637213,185969.5361249214,447648.1884790237
78521E33,T_5,185955.57153686832,447627.8868930828,18.45110147542094,185965.18686415083,447643.6345477306
524B0778,T_4,185956.39235191423,447652.86972190905,15.657852759704332,185969.56354836823,447644.40284899075
664B1E61,T_4,185956.39235191423,447652.86972190905,14.539381281956706,185970.79012166988,447654.8940326869
78521E33,T_4,185956.39235191423,447652.86972190905,13.514323237933116,185969.90138675962,447652.49168735347
524B0778,T_3,185957.2131697026,447677.85255055735,15.459481155940484,185968.72911805921,447667.5385556447
664B1E61,T_3,185957.2131697026,447677.85255055735,24.652076531527047,185952.061208683,447653.7448303215
78521E33,T_3,185957.2131697026,447677.85255055735,9.147453534137501,185966.12531737177,447675.79111171956
524B0778,T_11,185944.54293907972,448053.41581652267,12.410582303754431,185932.34388659272,448051.1342224445
664B1E61,T_11,185944.54293907972,448053.41581652267,21.43162692601057,185942.03373700284,448074.700048659
78521E33,T_11,185944.54293907972,448053.41581652267,22.159834278676065,185959.14459200605,448070.08464932756
524B0778,E_4,186333.5969204853,447715.50585981813,129.51976960902428,186349.4435836802,447844.0525594458
664B1E61,E_4,186333.5969204853,447715.50585981813,123.81670029458826,186325.49913316043,447839.0574729694
78521E33,E_4,186333.5969204853,447715.50585981813,104.93239901559926,186317.15910836888,447819.1427581507
524B0778,E_3,186334.41774349537,447740.48864669935,91.15950188824027,186337.8504121377,447831.58349600766
664B1E61,E_3,186334.41774349537,447740.48864669935,82.66073287256894,186332.58253558757,447823.12900470296
78521E33,E_3,186334.41774349537,447740.48864669935,110.080952448112,186367.41078894224,447845.5090020788
524B0778,E_23,186312.7182760588,447841.2406277099,55.06550725121586,186366.71064771505,447852.0588480703
664B1E61,E_23,186312.7182760588,447841.2406277099,19.95750223337055,186332.66970023853,447841.73314024264
78521E33,E_23,186312.7182760588,447841.2406277099,30.64034847345501,186331.50741158277,447817.03733576776
524B0778,E_2,186335.23856924975,447765.4714333847,58.62990047535681,186347.40491348505,447822.8251193839
664B1E61,E_2,186335.23856924975,447765.4714333847,49.052892564026266,186349.61423740984,447812.3705424791
78521E33,E_2,186335.23856924975,447765.4714333847,73.21939966983528,186378.71370288904,447824.3865693266
524B0778,E_18,186316.82248817533,447966.1545688604,25.549504984882496,186296.17626174688,447951.1043017785
664B1E61,E_18,186316.82248817533,447966.1545688604,38.434482645808316,186300.7069100764,447931.2619106242
78521E33,E_18,186316.82248817533,447966.1545688604,41.812495347325,186283.97329414423,447940.2853744648
524B0778,E_1,186336.0593977495,447790.45421986975,43.17362877054101,186358.68015891375,447827.22735388856
664B1E61,E_1,186336.0593977495,447790.45421986975,30.36798668610079,186351.90369391712,447816.36122460436
78521E33,E_1,186336.0593977495,447790.45421986975,27.68824938751059,186352.12728545017,447813.0033249292
34556652,R_7,186004.7163764969,447601.2624425316,10.67273512843701,185999.36023100434,447592.03102982364
784C5552,R_7,186004.7163764969,447601.2624425316,40.96437733250823,186018.61886358485,447562.729326086
78612A1E,R_7,186004.7163764969,447601.2624425316,44.269369751128906,186045.50468708618,447584.0551528719
34556652,R_5,186006.35800304264,447651.2280894427,42.844147876188515,185966.5535489827,447667.07821386575
784C5552,R_5,186006.35800304264,447651.2280894427,37.96037089041983,185968.64759089585,447646.87900058896
78612A1E,R_5,186006.35800304264,447651.2280894427,28.654666850290088,185977.7115206579,447651.91291006317
34556652,R_23,185986.30012550604,447801.94585793035,35.25843346841775,185983.1398456016,447766.8293409964
784C5552,R_23,185986.30012550604,447801.94585793035,21.793392488826775,186003.71540049795,447788.84394382866
78612A1E,R_23,185986.30012550604,447801.94585793035,17.500093240906804,186002.55034078294,447795.4509547829
34556652,R_22,185987.1209595466,447826.9286826256,33.954897716592654,185954.64224258112,447836.8316126577
784C5552,R_22,185987.1209595466,447826.9286826256,35.71485457389771,185962.211259955,447852.5227777159
78612A1E,R_22,185987.1209595466,447826.9286826256,22.60697329039238,185976.41994934995,447846.842587871
34556652,R_19,185989.58347812097,447901.8771555084,24.859326507668197,185976.40716310492,447922.95726075035
784C5552,R_19,185989.58347812097,447901.8771555084,9.964768767835286,185985.0230537807,447910.737129912
78612A1E,R_19,185989.58347812097,447901.8771555084,17.39635276049976,185974.59922076593,447910.71486566914
34556652,R_13,185994.5085893119,448051.774095896,9.690821068237826,185985.13770295135,448049.3045814105
784C5552,R_13,185994.5085893119,448051.774095896,9.534135514065623,185986.41354174394,448046.7372372646
78612A1E,R_13,185994.5085893119,448051.774095896,14.269203539021278,185998.9921035014,448065.3206183335
34556652,R_1,186009.64128904275,447751.1593808435,18.003341012890946,185991.903579957,447754.2406085235
784C5552,R_1,186009.64128904275,447751.1593808435,35.14973760740484,185975.41977323976,447759.18383783544
78612A1E,R_1,186009.64128904275,447751.1593808435,20.95283317170819,185989.99969418213,447743.8635622292
34556652,H_5,186258.6485484763,447717.9683256921,174.51161251395123,186096.2798011859,447781.92684979615
784C5552,H_5,186258.6485484763,447717.9683256921,170.92043632848035,186094.81998524943,447766.69201013545
78612A1E,H_5,186258.6485484763,447717.9683256921,170.58554409051604,186091.37327458023,447751.4109720534
34556652,H_3,186260.29019844197,447767.933915721,98.99155937680209,186340.06273297637,447826.5485176715
