tag,cp,error,x_cal,y_cal,x_est,y_est,node_count
2D1E4C2A,B_2,58.87151799475414,186414.29108230796,447887.92284207366,186371.8711069118,447847.101262996,19
2D2D5555,B_2,62.93060989601607,186414.29108230796,447887.92284207366,186391.82876677674,447946.70809569105,12
521E521E,B_2,41.98641498578543,186414.29108230796,447887.92284207366,186407.547675413,447929.3641922786,16
2D1E4C2A,B_20,26.627776546058815,186391.7708377317,447963.6920218391,186367.08943448178,447973.6853604905,17
2D2D5555,B_20,7.788646211781888,186391.7708377317,447963.6920218391,186389.44040522748,447956.26019204047,9
521E521E,B_20,18.373168322106874,186391.7708377317,447963.6920218391,186376.02798862362,447973.1649314319,11
2D1E4C2A,B_21,41.431844319571276,186390.94999041472,447938.70924223395,186432.35948900486,447937.34867241397,20
2D2D5555,B_21,30.4592903288708,186390.94999041472,447938.70924223395,186405.78356404952,447912.1059818969,12
521E521E,B_21,37.314876870094416,186390.94999041472,447938.70924223395,186423.83390679664,447921.07268703694,11
2D1E4C2A,B_22,34.65128767438603,186390.1291458436,447913.7264624428,186356.2020484868,447906.6792074853,24
2D2D5555,B_22,12.81576406944222,186390.1291458436,447913.7264624428,186396.97261776996,447902.890840602,15
521E521E,B_22,20.77148753890449,186390.1291458436,447913.7264624428,186404.09494147042,447898.3507918204,13
2D1E4C2A,B_23,50.529326786266694,186389.30830401697,447888.7436824587,186438.70389945817,447878.0999981115,22
521E521E,B_23,38.953879100766706,186389.30830401697,447888.7436824587,186390.58749578468,447927.6765524456,15
2D2D5555,B_23,33.23488770805803,186389.30830401697,447888.7436824587,186397.77179295063,447920.88286595856,19
2D1E4C2A,B_24,11.42343630352632,186388.4874649356,447863.76090226095,186381.6353783492,447854.6206721548,25
2D2D5555,B_24,45.76281809772786,186388.4874649356,447863.76090226095,186405.6721512285,447906.1746037884,15
521E521E,B_24,45.20195485906667,186388.4874649356,447863.76090226095,186407.08376684468,447904.9603473833,15
2D1E4C2A,B_3,48.265840158468784,186413.47024342613,447862.9400646262,186385.3597420862,447823.7049905136,20
2D2D5555,B_3,45.24559540583916,186413.47024342613,447862.9400646262,186382.12865996698,447895.5723959849,12
521E521E,B_3,28.90102144804272,186413.47024342613,447862.9400646262,186398.1501277187,447838.43367575615,12
2D1E4C2A,B_4,63.82018835531482,186412.64940729,447837.95728698646,186362.61006097417,447798.3456692211,25
2D2D5555,B_4,52.824696340667224,186412.64940729,447837.95728698646,186386.5556498642,447792.02729279,14
521E521E,B_4,84.0836908562784,186412.64940729,447837.95728698646,186401.90629756066,447754.562726844,11
2D1E4C2A,B_5,8.317140674812247,186411.8285738986,447812.9745091339,186403.55283605278,447813.803359007,24
2D2D5555,B_5,25.935249172481154,186411.8285738986,447812.9745091339,186404.64698545088,447837.8956234149,9
521E521E,B_5,26.851276786422464,186411.8285738986,447812.9745091339,186386.66681439886,447822.3487783822,20
2D1E4C2A,B_6,53.379363479386804,186411.0077432533,447787.9917310916,186379.3393629486,447830.9623039798,25
2D2D5555,B_6,16.19188526680828,186411.0077432533,447787.9917310916,186394.97700434772,447785.71301245294,15
521E521E,B_6,30.054199263172016,186411.0077432533,447787.9917310916,186395.65833977674,447813.83066888445,18
2D1E4C2A,B_7,68.99494192222393,186410.1869153531,447763.0089528445,186342.79834563629,447748.2075109426,23
2D2D5555,B_7,36.70277299856074,186410.1869153531,447763.0089528445,186395.25454884465,447796.5368214949,16
521E521E,B_7,10.205053103882303,186410.1869153531,447763.0089528445,186399.98739106153,447762.67307626153,15
2D1E4C2A,B_8,0.9205054634387999,186409.3660901989,447738.02617439535,186408.5501313611,447738.45225124666,22
2D2D5555,B_8,53.42592061511387,186409.3660901989,447738.02617439535,186390.57572901662,447688.01366275863,6
521E521E,B_8,57.14094583514298,186409.3660901989,447738.02617439535,186368.30142983212,447698.2922926331,12
2D1E4C2A,B_9,23.098199114380822,186408.54526779015,447713.04339574074,186391.43523444145,447697.5265158632,19
2D2D5555,B_9,35.49872667873682,186408.54526779015,447713.04339574074,186382.73477903765,447688.67172640585,11
521E521E,B_9,30.201423347288305,186408.54526779015,447713.04339574074,186383.89546048804,447730.49369580037,15
4B2A5555,C_1,31.34585624525442,186387.6666285998,447838.77812186343,186385.06271132902,447807.5406072601,16
55346178,C_1,39.45651712922045,186387.6666285998,447838.77812186343,186403.97652601317,447802.8503611437,24
782D5207,C_1,26.026075249708036,186387.6666285998,447838.77812186343,186395.0488573218,447813.8209727474,20
55346178,C_13,82.04076634369234,186377.8168067018,447538.9847415382,186346.89397518866,447614.974647667,15
4B2A5555,C_13,33.53167724281704,186377.8168067018,447538.9847415382,186409.9071654854,447529.25940083177,10
782D5207,C_13,29.937870225162637,186377.8168067018,447538.9847415382,186393.6915612271,447513.60230189224,10
55346178,C_14,52.43550397124595,186376.99600605425,447514.0019585302,186427.48100282523,447528.17048625025,15
782D5207,C_14,17.871645409023365,186376.99600605425,447514.0019585302,186393.50681030098,447520.8422109197,10
4B2A5555,C_14,77.11679185450511,186376.99600605425,447514.0019585302,186404.37436623592,447586.0951272752,8
55346178,C_15,18.368648234632893,186376.17520815207,447489.0191753272,186359.85584186556,447480.5879522858,17
782D5207,C_15,61.149008749786105,186376.17520815207,447489.0191753272,186419.69354795892,447531.976775022,11
4B2A5555,C_15,20.644307217031052,186376.17520815207,447489.0191753272,186357.56341858912,447480.0867227113,9
55346178,C_16,54.85415850542494,186375.3544129948,447464.03639191977,186411.53229854692,447505.26913743006,16
4B2A5555,C_16,55.898599799558376,186375.3544129948,447464.03639191977,186319.45583117328,447464.0812237493,12
782D5207,C_16,59.347030170536016,186375.3544129948,447464.03639191977,186326.79019862216,447498.1477840407,11
55346178,C_17,66.35249990869757,186367.60890755264,447989.4956527868,186365.78031785967,447923.16835445596,26
782D5207,C_17,26.146751508562392,186367.60890755264,447989.4956527868,186374.45460706326,447964.2609740161,14
4B2A5555,C_17,26.076400991019796,186367.60890755264,447989.4956527868,186392.34778161344,447981.2514548969,11
55346178,C_18,105.56344186092485,186366.78805729176,447964.51287064806,186282.7468998609,447900.6323249772,12
4B2A5555,C_18,18.36957756204934,186366.78805729176,447964.51287064806,186383.10977413162,447972.9415680093,9
782D5207,C_18,18.757790680156027,186366.78805729176,447964.51287064806,186383.98281223347,447972.00921066804,11
55346178,C_19,24.99626391579879,186365.96720977596,447939.5300883076,186365.14636500546,447914.5473057642,19
4B2A5555,C_19,31.39846915068422,186365.96720977596,447939.5300883076,186346.92487081775,447964.4951277029,10
782D5207,C_19,42.225345725155556,186365.96720977596,447939.5300883076,186375.50504325473,447980.6641320444,12
