est_method,cp_time,cp,tag,dets,error
knn,5,E_19,524B0778,39,34
knn,5,E_19,664B1E61,39,59
knn,5,E_19,78521E33,39,53
knn,5,E_2,524B0778,28,50
knn,5,E_2,664B1E61,28,214
knn,5,E_2,78521E33,28,59
knn,5,E_20,524B0778,39,8
knn,5,E_20,664B1E61,39,45
knn,5,E_20,78521E33,39,74
knn,5,E_21,524B0778,46,19
knn,5,E_21,664B1E61,46,346
knn,5,E_21,78521E33,46,101
knn,5,E_22,524B0778,35,104
knn,5,E_22,664B1E61,35,106
knn,5,E_22,78521E33,35,42
knn,5,E_23,524B0778,38,75
knn,5,E_23,664B1E61,38,125
knn,5,E_23,78521E33,38,150
knn,5,E_24,524B0778,32,288
knn,5,E_24,664B1E61,32,153
knn,5,E_24,78521E33,32,93
knn,5,E_3,524B0778,28,79
knn,5,E_3,664B1E61,28,118
knn,5,E_3,78521E33,28,237
knn,5,E_4,524B0778,22,79
knn,5,E_4,664B1E61,22,214
knn,5,E_4,78521E33,22,126
knn,5,E_5,524B0778,27,145
knn,5,E_5,664B1E61,27,139
knn,5,E_5,78521E33,27,77
knn,5,E_6,524B0778,22,112
knn,5,E_6,664B1E61,22,150
knn,5,E_6,78521E33,22,77
knn,5,E_7,524B0778,17,105
knn,5,E_7,664B1E61,17,156
knn,5,E_7,78521E33,17,84
knn,5,E_8,524B0778,15,120
knn,5,E_8,664B1E61,15,124
knn,5,E_8,78521E33,15,89
knn,5,F_1,072D1E2A,40,113
knn,5,F_1,2D2A784C,40,130
knn,5,F_1,6119331E,40,53
knn,5,F_10,072D1E2A,20,104
knn,5,F_10,2D2A784C,20,112
knn,5,F_10,6119331E,20,26
knn,5,F_11,072D1E2A,19,50
knn,5,F_11,2D2A784C,19,90
knn,5,F_11,6119331E,19,87
knn,5,F_12,072D1E2A,30,26
knn,5,F_12,2D2A784C,30,33
knn,5,F_12,6119331E,30,77
knn,5,F_13,072D1E2A,25,56
knn,5,F_13,2D2A784C,25,0
knn,5,F_13,6119331E,25,47
knn,5,F_14,072D1E2A,18,56
knn,5,F_14,2D2A784C,18,56
knn,5,F_14,6119331E,18,56
knn,5,F_15,2A786119,26,24
knn,5,F_15,4C524C66,26,94
knn,5,F_15,78073433,26,83
knn,5,F_16,072D1E2A,31,188
knn,5,F_16,2D2A784C,31,24
knn,5,F_16,6119331E,31,63
knn,5,F_17,072D1E2A,32,59
knn,5,F_17,2D2A784C,32,76
knn,5,F_17,6119331E,32,51
knn,5,F_18,072D1E2A,23,467
knn,5,F_18,2D2A784C,23,110
knn,5,F_18,6119331E,23,282
knn,5,F_19,072D1E2A,31,59
knn,5,F_19,2D2A784C,31,59
knn,5,F_19,6119331E,31,77
knn,5,F_2,072D1E2A,47,254
knn,5,F_2,2D2A784C,47,42
knn,5,F_2,6119331E,47,116
knn,5,F_20,072D1E2A,39,49
knn,5,F_20,2D2A784C,39,30
knn,5,F_20,6119331E,39,71
knn,5,F_21,072D1E2A,39,101
knn,5,F_21,2D2A784C,39,47
knn,5,F_21,6119331E,39,90
knn,5,F_22,072D1E2A,48,94
knn,5,F_22,2D2A784C,48,89
knn,5,F_22,6119331E,48,97
knn,5,F_23,072D1E2A,37,348
knn,5,F_23,2D2A784C,37,42
knn,5,F_23,6119331E,37,75
knn,5,F_24,072D1E2A,46,167
knn,5,F_24,2D2A784C,46,48
knn,5,F_24,6119331E,46,72
knn,5,F_3,072D1E2A,40,47
knn,5,F_3,2D2A784C,40,56
knn,5,F_3,6119331E,40,93
knn,5,F_4,072D1E2A,34,119
knn,5,F_4,2D2A784C,34,83
knn,5,F_4,6119331E,34,197
knn,5,F_5,072D1E2A,20,190
knn,5,F_5,2D2A784C,20,60
knn,5,F_5,6119331E,20,211
knn,5,F_6,2D2A784C,20,56
knn,5,F_6,6119331E,20,186
knn,5,F_7,072D1E2A,27,104
knn,5,F_7,2D2A784C,27,90
knn,5,F_7,6119331E,27,147
knn,5,F_8,072D1E2A,31,93
knn,5,F_8,2D2A784C,31,77
knn,5,F_8,6119331E,31,102
knn,5,F_9,072D1E2A,21,113
knn,5,F_9,2D2A784C,21,79
knn,5,F_9,6119331E,21,104
knn,5,G_1,2A786119,33,118
knn,5,G_1,4C524C66,33,171
knn,5,G_1,78073433,33,153
knn,5,G_10,2A786119,22,84
