tag,cp,error,x_est,y_est,est,nearest_gp_det,mean_RSSI,dets_node,grid_point,distance_gp,mean_gp_distance,dist_center
2D331955,A_22,58.38657929799298,186416.3394045714,447929.4804347595,knn,TRUE,NA,NA,43,8.900980430166179,425.188609416079,364.9149359811734
4C2A341E,A_22,40.470487270696864,186394.12135384508,447954.8719562524,knn,TRUE,NA,NA,43,8.900980430166179,425.188609416079,364.9149359811734
78524B34,A_22,50.6336429390427,186423.96050833585,447937.62463322293,knn,TRUE,NA,NA,43,8.900980430166179,425.188609416079,364.9149359811734
78524B34,A_23,26.551229655088207,186424.88086621923,447937.5943935453,knn,TRUE,NA,NA,43,27.408603560413468,414.5831205889163,351.55956626104984
2D331955,A_23,30.13451444302334,186432.75449826493,447937.3356938022,knn,TRUE,NA,NA,43,27.408603560413468,414.5831205889163,351.55956626104984
4C2A341E,A_23,29.590799706744303,186431.7609735588,447937.3683375118,knn,TRUE,NA,NA,43,27.408603560413468,414.5831205889163,351.55956626104984
78524B34,A_24,6.2024670286829435,186422.13189011876,447937.6847151867,knn,TRUE,NA,NA,43,51.699723929689185,405.2275763344386,339.52223308471247
2D331955,A_24,11.459015261441012,186422.89002018457,447928.7831409148,knn,TRUE,NA,NA,43,51.699723929689185,405.2275763344386,339.52223308471247
4C2A341E,A_24,9.136008413383438,186416.8159291715,447946.9816178463,knn,TRUE,NA,NA,43,51.699723929689185,405.2275763344386,339.52223308471247
2D331955,A_3,48.184668920673474,186414.7154865749,447831.08082017896,knn,FALSE,NA,NA,42A,46.91248191451553,418.98466367370577,356.74265296966144
4C2A341E,A_3,24.99625322929565,186463.4357921708,447861.298389962,knn,FALSE,NA,NA,42A,46.91248191451553,418.98466367370577,356.74265296966144
78524B34,A_3,13.12242388397677,186456.05983595812,447847.6834849908,knn,FALSE,NA,NA,42A,46.91248191451553,418.98466367370577,356.74265296966144
78524B34,A_4,33.913609077378155,186407.02022524437,447938.1812310703,knn,TRUE,NA,NA,43,53.434081450572705,422.96103368892216,361.984664521681
2D331955,A_4,41.418501941785166,186399.51938004725,447938.4276823536,knn,TRUE,NA,NA,43,53.434081450572705,422.96103368892216,361.984664521681
4C2A341E,A_4,34.45504227669374,186407.69883200727,447946.2217857271,knn,TRUE,NA,NA,43,53.434081450572705,422.96103368892216,361.984664521681
2D331955,A_5,29.55739279941532,186455.03959234015,447886.58399914694,knn,FALSE,NA,NA,42A,34.43686970232322,414.9546177524467,352.0853809444301
78524B34,A_5,29.991720708962976,186418.5072606717,447932.90509833256,knn,FALSE,NA,NA,42A,34.43686970232322,414.9546177524467,352.0853809444301
4C2A341E,A_5,60.64683269305777,186389.00168525937,447879.41151158593,knn,FALSE,NA,NA,42A,34.43686970232322,414.9546177524467,352.0853809444301
78524B34,A_6,17.667976091463895,186455.14471434656,447879.3384142401,knn,FALSE,NA,NA,42A,19.768531093849255,408.2635535964187,343.7227568876466
2D331955,A_6,7.148952181283826,186435.40917992344,447893.1163000127,knn,FALSE,NA,NA,42A,19.768531093849255,408.2635535964187,343.7227568876466
4C2A341E,A_6,24.996255768366726,186440.0946992826,447912.08477640175,knn,FALSE,NA,NA,42A,19.768531093849255,408.2635535964187,343.7227568876466
4C2A341E,A_7,26.849110486689003,186442.41922505148,447835.56468060345,knn,FALSE,NA,NA,42A,29.074338355476183,403.2323104781005,337.0112041607747
2D331955,A_7,0.68940213236639,186438.43038301263,447861.4301967891,knn,FALSE,NA,NA,42A,29.074338355476183,403.2323104781005,337.0112041607747
78524B34,A_7,24.996255988818728,186437.6321832343,447837.1364522957,knn,FALSE,NA,NA,42A,29.074338355476183,403.2323104781005,337.0112041607747
2D331955,A_8,16.42911003813918,186442.63979483215,447852.7837997619,knn,TRUE,NA,NA,28A,49.15080638625184,399.6298197474807,332.05085432276445
78524B34,A_8,24.9962559887596,186438.4530191717,447862.119227198,knn,TRUE,NA,NA,28A,49.15080638625184,399.6298197474807,332.05085432276445
4C2A341E,A_8,24.996255988876907,186438.45301917172,447862.1192271981,knn,TRUE,NA,NA,28A,49.15080638625184,399.6298197474807,332.05085432276445
4C2A341E,A_9,41.56846573595044,186462.884791281,447844.5282506346,knn,TRUE,NA,NA,28A,35.384204468271655,397.32414358467406,328.9209448837528
2D331955,A_9,22.460994141165163,186414.44152909433,447814.1754013404,knn,TRUE,NA,NA,28A,35.384204468271655,397.32414358467406,328.9209448837528
78524B34,A_9,41.06757448551153,186438.3879837419,447853.1909760826,knn,TRUE,NA,NA,28A,35.384204468271655,397.32414358467406,328.9209448837528
2D1E4C2A,B_1,78.46561920293094,186343.02250205373,447881.9222584697,knn,FALSE,NA,NA,42A,52.76559063279059,397.11994364636513,328.9476628335087
2D2D5555,B_1,34.30018053721256,186391.47015462344,447937.75655750645,knn,FALSE,NA,NA,42A,52.76559063279059,397.11994364636513,328.9476628335087
521E521E,B_1,32.1326487513855,186398.66161571103,447940.5080553569,knn,FALSE,NA,NA,42A,52.76559063279059,397.11994364636513,328.9476628335087
2D1E4C2A,B_10,67.24612874690705,186341.2844458347,447698.44175011467,knn,FALSE,NA,NA,27,34.77751886139663,388.38760649745126,317.5492529162726
2D2D5555,B_10,23.302349996168996,186391.06268348667,447704.3512618925,knn,FALSE,NA,NA,27,34.77751886139663,388.38760649745126,317.5492529162726
521E521E,B_10,7.266645606748559,186407.14009885705,447695.30372909247,knn,FALSE,NA,NA,27,34.77751886139663,388.38760649745126,317.5492529162726
2D1E4C2A,B_11,26.260828256129084,186381.55040307037,447656.2335026964,knn,FALSE,NA,NA,27,46.262912520569806,394.522203857627,325.988874279432
2D2D5555,B_11,126.18838019641576,186394.15949624655,447537.53464081977,knn,FALSE,NA,NA,27,46.262912520569806,394.522203857627,325.988874279432
521E521E,B_11,34.71571984798316,186388.6393470424,447633.5550139936,knn,FALSE,NA,NA,27,46.262912520569806,394.522203857627,325.988874279432
2D1E4C2A,B_14,67.76758832531048,186393.37565369,447521.2714425408,knn,TRUE,NA,NA,15A2,37.98256685612867,419.9407552491452,360.6416511373008
521E521E,B_14,41.177389900828565,186379.41377374108,447555.4307911499,knn,TRUE,NA,NA,15A2,37.98256685612867,419.9407552491452,360.6416511373008
2D2D5555,B_14,109.869313238177,186359.254610228,447487.9824157979,knn,TRUE,NA,NA,15A2,37.98256685612867,419.9407552491452,360.6416511373008
2D1E4C2A,B_15,7.4553674645953025,186396.16720418324,447563.3270262196,knn,TRUE,NA,NA,15A2,24.915496152220037,430.6382675156802,374.8247839469281
2D2D5555,B_15,34.136681241047825,186392.9275114759,447530.7279699214,knn,TRUE,NA,NA,15A2,24.915496152220037,430.6382675156802,374.8247839469281
521E521E,B_15,48.9538151902519,186401.79425811447,447514.226976595,knn,TRUE,NA,NA,15A2,24.915496152220037,430.6382675156802,374.8247839469281
2D1E4C2A,B_16,26.848150356714445,186411.77198194363,447512.85940796346,knn,TRUE,NA,NA,15A2,32.380776322872535,442.72156438916466,390.09593280229853
521E521E,B_16,89.99412335603101,186405.75474629624,447628.1095302384,knn,TRUE,NA,NA,15A2,32.380776322872535,442.72156438916466,390.09593280229853
2D2D5555,B_16,23.103509651433377,186386.50257360004,447521.78775302647,knn,TRUE,NA,NA,15A2,32.380776322872535,442.72156438916466,390.09593280229853
2D1E4C2A,B_17,30.525513569975143,186427.5369106169,447529.8721543321,knn,FALSE,NA,NA,14,25.001126300832546,456.0483563228251,406.3324438400864
521E521E,B_17,24.345491385303543,186385.47647626308,447531.0802285711,knn,FALSE,NA,NA,14,25.001126300832546,456.0483563228251,406.3324438400864
2D2D5555,B_17,44.334423568839426,186369.71473758097,447482.7743803968,knn,FALSE,NA,NA,14,25.001126300832546,456.0483563228251,406.3324438400864
2D1E4C2A,B_18,77.44005647869207,186379.315887976,447562.4943070435,knn,FALSE,NA,NA,14,22.49618761424276,470.66238582262497,423.4232788143784
2D2D5555,B_18,62.09781865451544,186341.1181069557,447472.34430787805,knn,FALSE,NA,NA,14,22.49618761424276,470.66238582262497,423.4232788143784
