cp,tag,x_cal,y_cal,x_est,y_est,error
B_18,2D1E4C2A,186401.15798965318,447488.1983788831,186365.7754048131,447562.8743282785,82.63428300693728
B_18,2D2D5555,186401.15798965318,447488.1983788831,186322.3482718458,447564.17955442826,109.47196288592625
B_18,521E521E,186401.15798965318,447488.1983788831,186338.4963924857,447536.4603211417,79.09292528507522
B_19,2D1E4C2A,186392.59168779448,447988.6748012422,186338.74620943237,447943.677864179,70.17164587717707
B_19,2D2D5555,186392.59168779448,447988.6748012422,186353.8646946292,447895.9275616809,100.50786260716824
B_19,521E521E,186392.59168779448,447988.6748012422,186350.88631477533,447945.11707033194,60.30434528884914
B_2,2D1E4C2A,186414.2910823079,447887.92284207477,186380.22529852582,447843.93432671705,55.636922165622344
B_2,2D2D5555,186414.2910823079,447887.92284207477,186394.02066437295,447884.88288986334,20.497101080529657
B_2,521E521E,186414.2910823079,447887.92284207477,186389.5989401533,447858.32455908594,38.5455605753781
B_20,2D1E4C2A,186391.77083773172,447963.6920218405,186366.3359806104,447955.85083192535,26.616089421010482
B_20,2D2D5555,186391.77083773172,447963.6920218405,186390.4989397721,447931.3058384163,32.41114933485694
B_20,521E521E,186391.77083773172,447963.6920218405,186370.5145764146,447940.1435831617,31.723139967382867
B_21,2D1E4C2A,186390.94999041484,447938.7092422332,186417.54437171665,447928.10543960455,28.630433929879413
B_21,2D2D5555,186390.94999041484,447938.7092422332,186384.08801362722,447948.7004610373,12.120692167738907
B_21,521E521E,186390.94999041484,447938.7092422332,186402.54834923308,447961.4613484885,25.537820312830775
B_22,2D1E4C2A,186390.1291458436,447913.7264624414,186364.69982095598,447880.3395889635,41.968248532293856
B_22,2D2D5555,186390.1291458436,447913.7264624414,186409.38306704976,447901.7662378712,22.666284512078814
B_22,521E521E,186390.1291458436,447913.7264624414,186400.33762776703,447884.24039500335,31.203225412471163
B_23,2D1E4C2A,186389.308304017,447888.7436824548,186425.50352531197,447876.64343220764,38.16425160586618
B_23,2D2D5555,186389.308304017,447888.7436824548,186422.21765341877,447897.6849496456,34.10236849582561
B_23,521E521E,186389.308304017,447888.7436824548,186398.7334679764,447924.3576210132,36.84000997965997
B_24,2D1E4C2A,186388.48746493558,447863.7609022588,186355.67813202378,447854.827413178,34.003816745685356
B_24,2D2D5555,186388.48746493558,447863.7609022588,186408.29259275287,447908.6325056566,49.04797528289236
B_24,521E521E,186388.48746493558,447863.7609022588,186411.00810094754,447885.2239777753,31.110169671842648
B_3,2D1E4C2A,186413.47024342607,447862.9400646252,186339.58936758927,447820.5139499363,85.1960035565306
B_3,2D2D5555,186413.47024342607,447862.9400646252,186379.3286984086,447855.48204118444,34.94663374093881
B_3,521E521E,186413.47024342607,447862.9400646252,186381.97474774258,447854.08813592605,32.71578961362109
B_4,2D1E4C2A,186412.64940729007,447837.9572869847,186396.30486770987,447768.4950676618,71.359259296558065
B_4,2D2D5555,186412.64940729007,447837.9572869847,186403.88366771658,447804.1065000915,34.96732708630223
B_4,521E521E,186412.64940729007,447837.9572869847,186425.8395598986,447780.5587179373,58.8946165156423
B_5,2D1E4C2A,186411.8285738986,447812.97450913256,186393.7149294344,447783.51368007256,34.58387723603444
B_5,2D2D5555,186411.8285738986,447812.97450913256,186407.40554337128,447833.3860963803,20.885308066142173
B_5,521E521E,186411.8285738986,447812.97450913256,186365.13402851275,447813.69050725095,46.70003449779635
B_6,2D1E4C2A,186411.00774325329,447787.9917310898,186385.29177219758,447832.2898827436,51.22145456041366
B_6,2D2D5555,186411.00774325329,447787.9917310898,186359.45603525193,447775.0601614129,53.14888608582337
B_6,521E521E,186411.00774325329,447787.9917310898,186388.1267256988,447756.72482479166,38.74481118529451
B_7,2D1E4C2A,186410.18691535312,447763.0089528427,186383.06186578664,447734.5634378954,39.30541482544336
B_7,2D2D5555,186410.18691535312,447763.0089528427,186382.08268612943,447784.15392341197,35.170406318857715
B_7,521E521E,186410.18691535312,447763.0089528427,186412.06967537437,447756.5913408124,6.68808862597666
B_8,2D1E4C2A,186409.366090199,447738.02617439354,186386.66448257657,447773.5446526793,42.153591642691225
B_8,2D2D5555,186409.366090199,447738.02617439354,186356.51804615997,447728.0778077773,53.776256443555205
B_8,521E521E,186409.366090199,447738.02617439354,186353.6808364844,447683.2918263247,78.0813443773937
B_9,2D1E4C2A,186408.54526779018,447713.0433957422,186397.6040697625,447757.1209047128,45.41515838722208
B_9,2D2D5555,186408.54526779018,447713.0433957422,186407.5912846003,447682.03156574816,31.02649969792966
B_9,521E521E,186408.54526779018,447713.0433957422,186365.544124476,447676.01988908247,56.74361965638942
