est_method,nodes,tag,x,y,x_est,y_est,cp,error,node_count
ml,odd,33557852,185841.3281825266,447956.7679015204,185823.27903864573,447988.01254912675,X_9,36.08323154702563,1
ml,odd,191E4C07,185842.14903421164,447981.7507414799,185823.27903864573,447988.01254912675,X_8,19.88182505866704,1
ml,odd,33557852,185842.14903421164,447981.7507414799,185823.27903864573,447988.01254912675,X_8,19.88182505866704,1
ml,odd,4C4B664C,185842.14903421164,447981.7507414799,185823.27903864573,447988.01254912675,X_8,19.88182505866704,1
ml,odd,78073433,185842.96988863766,448006.73358121933,185823.27903864573,447988.01254912675,X_7,27.16995796860634,1
ml,odd,2A786119,185842.96988863766,448006.73358121933,185823.27903864573,447988.01254912675,X_7,27.16995796860634,1
ml,odd,4C524C66,185842.96988863766,448006.73358121933,185823.27903864573,447988.01254912675,X_7,27.16995796860634,1
ml,odd,2A786119,185843.7907458043,448031.71642077307,185842.72188279883,447994.61256643204,X_6,37.11924669338604,2
ml,odd,4C524C66,185843.7907458043,448031.71642077307,185846.1072282838,447995.76174855884,X_6,36.029217936423485,2
ml,odd,78073433,185843.7907458043,448031.71642077307,185852.70762722378,447998.0023031754,X_6,34.873378093308254,2
ml,odd,78073433,185844.6116057126,448056.69926013064,185846.01628195407,447995.7308663588,X_5,60.984573085845696,2
ml,odd,4C524C66,185844.6116057126,448056.69926013064,185851.17521022676,447997.4820683662,X_5,59.579834715157375,2
ml,odd,2A786119,185844.6116057126,448056.69926013064,185839.08786930493,447993.37897483876,X_5,63.56075985500771,2
ml,odd,4C4B664C,185845.4324683626,448081.68209927593,185858.7980103363,448000.069729539,X_4,82.69955626441467,2
ml,odd,33557852,185845.4324683626,448081.68209927593,185897.22959914766,448013.11561954103,X_4,85.93197833636843,2
ml,odd,191E4C07,185845.4324683626,448081.68209927593,185868.948845015,448003.5155062284,X_4,81.62742333015453,2
ml,odd,2A786119,185846.25333375286,448106.6649382482,185910.78534149373,448072.8992498263,X_3,72.83201039153448,3
ml,odd,4C524C66,185846.25333375286,448106.6649382482,185860.1799089263,448138.9117090397,X_3,35.12554230954677,3
ml,odd,78073433,185846.25333375286,448106.6649382482,185869.93976426442,448139.7152559477,X_3,40.66165872682314,3
ml,odd,33557852,185847.07420188465,448131.64777699736,185942.44382860343,448028.46394096,X_2,140.5071874313263,2
ml,odd,191E4C07,185847.07420188465,448131.64777699736,185950.42268938158,448031.1724179129,X_2,144.13954228818966,2
ml,odd,4C4B664C,185847.07420188465,448131.64777699736,185926.65776548427,448023.10523179575,X_2,134.59207894247464,2
ml,odd,66782A34,185856.46101675613,447656.15298927145,185888.011861688,447689.6586894837,W_24,46.022687477245725,2
ml,odd,07614B78,185856.46101675613,447656.15298927145,185887.15269459257,447694.4532169005,W_24,49.08040876821473,2
ml,odd,072A5219,185856.46101675613,447656.15298927145,185893.95877213086,447656.47219600447,W_24,37.499114003953814,2
ml,odd,07614B78,185857.2818353469,447681.13582886424,185887.65699209963,447696.2051648634,W_23,33.90774299785113,3
ml,odd,66782A34,185857.2818353469,447681.13582886424,185889.84397038113,447685.3554991802,W_23,32.83440658156658,3
ml,odd,072A5219,185857.2818353469,447681.13582886424,185901.38714310928,447647.47352062835,W_23,55.48359368843479,3
ml,odd,66782A34,185858.10265667964,447706.1186682722,185887.418644206,447696.03810971824,W_22,31.000722336832755,3
ml,odd,07614B78,185858.10265667964,447706.1186682722,185892.2469989329,447702.8201127768,W_22,34.30330270199953,3
ml,odd,072A5219,185858.10265667964,447706.1186682722,185888.36103307753,447697.34855170565,W_22,31.50371861903869,3
ml,odd,66782A34,185858.92348075335,447731.10150746885,185898.35420519084,447707.327679045,W_21,46.04320739906535,3
ml,odd,072A5219,185858.92348075335,447731.10150746885,185889.95288082908,447699.89912398724,W_21,44.00468615946246,3
ml,odd,07614B78,185858.92348075335,447731.10150746885,185902.93665852517,447710.6577899132,W_21,48.5294282376136,3
ml,odd,07614B78,185859.7443075679,447756.0843464715,185921.84767526865,447722.6327974324,W_20,70.53959464649746,3
ml,odd,66782A34,185859.7443075679,447756.0843464715,185913.2772612219,447716.9043210686,W_20,66.3389140512252,3
ml,odd,072A5219,185859.7443075679,447756.0843464715,185893.22444673307,447704.47783146764,W_20,61.515462360020706,3
ml,odd,66782A34,185860.5651371245,447781.06718527677,185942.75321178892,447768.97891452006,W_19,83.07229325672404,4
