tag,cp,error,x_cal,y_cal,x_est,y_est
521E521E,B_6,30.054199263272103,186411.0077432533,447787.9917310898,186395.65833977674,447813.83066888276
2D1E4C2A,B_7,68.99494192237724,186410.18691535312,447763.0089528427,186342.79834563629,447748.2075109402
2D2D5555,B_7,36.702772998678924,186410.18691535312,447763.0089528427,186395.25454884465,447796.53682149324
521E521E,B_7,10.20505310387464,186410.18691535312,447763.0089528427,186399.98739106156,447762.67307625996
2D1E4C2A,B_8,0.9205054631143427,186409.36609019895,447738.02617439354,186408.55013136112,447738.4522512441
2D2D5555,B_8,53.425920614851655,186409.36609019895,447738.02617439354,186390.57572901665,447688.0136627571
521E521E,B_8,57.140945836235815,186409.36609019895,447738.02617439354,186368.30142983218,447698.2922926297
2D1E4C2A,B_9,23.098199115006466,186408.54526779018,447713.04339573934,186391.43523444148,447697.52651586087
2D2D5555,B_9,35.49872667997566,186408.54526779018,447713.04339573934,186382.73477903768,447688.67172640265
521E521E,B_9,30.201423346558276,186408.54526779018,447713.04339573934,186383.8954604881,447730.49369579775
4B2A5555,C_1,31.345856246358963,186387.66662859984,447838.77812186163,186385.06271132902,447807.54060725716
55346178,C_1,39.456517129049416,186387.66662859984,447838.77812186163,186403.97652601317,447802.8503611421
782D5207,C_1,26.026075250632157,186387.66662859984,447838.77812186163,186395.04885732173,447813.8209727446
55346178,C_13,82.04076634272187,186377.81680670183,447538.9847415364,186346.8939751887,447614.9746476642
4B2A5555,C_13,33.531677243059306,186377.81680670183,447538.9847415364,186409.9071654854,447529.25940082903
782D5207,C_13,29.937870227580817,186377.81680670183,447538.9847415364,186393.69156122714,447513.6023018876
55346178,C_14,52.435503971167314,186376.99600605428,447514.00195852807,186427.48100282525,447528.1704862478
782D5207,C_14,17.871645408729137,186376.99600605428,447514.00195852807,186393.50681030098,447520.84221091686
4B2A5555,C_14,77.11679185423303,186376.99600605428,447514.00195852807,186404.37436623595,447586.09512727277
55346178,C_15,18.368648234017538,186376.1752081521,447489.0191753251,186359.85584186556,447480.5879522851
782D5207,C_15,61.14900874880471,186376.1752081521,447489.0191753251,186419.69354795894,447531.9767750185
4B2A5555,C_15,20.644307216880993,186376.1752081521,447489.0191753251,186357.56341858912,447480.0867227096
55346178,C_16,54.85415850363104,186375.3544129948,447464.03639192047,186411.53229854692,447505.2691374284
4B2A5555,C_16,55.89859979952684,186375.3544129948,447464.03639192047,186319.4558311733,447464.081223747
782D5207,C_16,59.347030168562085,186375.3544129948,447464.03639192047,186326.79019862216,447498.147784038
55346178,C_17,66.35249990811731,186367.6089075527,447989.4956527854,186365.78031785967,447923.16835445515
782D5207,C_17,26.146751509846847,186367.6089075527,447989.4956527854,186374.4546070633,447964.26097401336
4B2A5555,C_17,26.07640099143385,186367.6089075527,447989.4956527854,186392.34778161347,447981.2514548941
55346178,C_18,105.56344186175816,186366.78805729182,447964.51287064346,186282.74689986094,447900.63232497126
4B2A5555,C_18,18.36957756431952,186366.78805729182,447964.51287064346,186383.10977413168,447972.9415680097
782D5207,C_18,18.757790682153146,186366.78805729182,447964.51287064346,186383.9828122335,447972.0092106685
55346178,C_19,24.99626391615071,186365.96720977605,447939.5300883058,186365.14636500546,447914.54730576207
4B2A5555,C_19,31.39846914907105,186365.96720977605,447939.5300883058,186346.92487081775,447964.495127699
782D5207,C_19,42.22534572350459,186365.96720977605,447939.5300883058,186375.5050432548,447980.6641320409
4B2A5555,C_2,23.18345753026811,186386.84579500955,447813.79534126876,186404.1260373998,447829.25062923087
55346178,C_2,9.846782876160939,186386.84579500955,447813.79534126876,186396.58250420113,447812.3271358578
782D5207,C_2,30.042976337510904,186386.84579500955,447813.79534126876,186371.00926527666,447839.3254167335
4B2A5555,C_20,5.237487316542215,186365.14636500546,447914.547305762,186364.97437851067,447909.31264301867
55346178,C_20,27.580698039016962,186365.14636500546,447914.547305762,186366.05208288154,447942.11312843155
782D5207,C_20,30.651795350853284,186365.14636500546,447914.547305762,186381.35459830193,447888.53143115365
4B2A5555,C_21,37.32639383001908,186364.32552297987,447889.56452302285,186332.53969554562,447909.13288653834
55346178,C_21,33.11184043145618,186364.32552297987,447889.56452302285,186365.4128751886,447922.6585049823
782D5207,C_21,30.18375886423079,186364.32552297987,447889.56452302285,186365.3167210408,447919.73200262553
4B2A5555,C_22,36.882345212493426,186363.50468369978,447864.5817400806,186382.1174907061,447896.4230780506
55346178,C_22,23.410458528544446,186363.50468369978,447864.5817400806,186379.14934051302,447847.1663939252
782D5207,C_22,17.859923953202077,186363.50468369978,447864.5817400806,186354.84201843612,447848.96331781254
55346178,C_23,35.86498333290115,186362.6838471643,447839.59895694215,186387.98341308982,447814.17792247364
4B2A5555,C_23,23.94431236857045,186362.6838471643,447839.59895694215,186378.9293924849,447822.0088360773
782D5207,C_23,52.904688778830476,186362.6838471643,447839.59895694215,186394.07431859695,447797.0132269611
55346178,C_3,50.37209318052165,186386.02496416416,447788.81256047747,186336.09587415555,447782.14669652
4B2A5555,C_3,55.9577379079667,186386.02496416416,447788.81256047747,186409.48195345912,447738.0086424692
782D5207,C_3,58.26223460374003,186386.02496416416,447788.81256047747,186426.15656271135,447746.5758136914
55346178,C_4,35.14188353801266,186385.20413606465,447763.82977948117,186409.07097992013,447738.0358704525
782D5207,C_4,73.15218598663377,186385.20413606465,447763.82977948117,186316.00099012384,447740.119720297
4B2A5555,C_4,58.998122186746876,186385.20413606465,447763.82977948117,186374.58763000573,447705.7947192101
55346178,C_5,36.90073445765917,186384.38331070956,447738.84699829447,186358.64567035498,447765.2901084083
4B2A5555,C_5,26.217106975524807,186384.38331070956,447738.84699829447,186375.8483002998,447714.0580835245
