cp,tag,x_cal,y_cal,x_est,y_est,error
B_10,2D1E4C2A,186407.7244481264,447688.060616895,186349.93935030955,447682.27938843606,58.07357516285916
B_10,2D2D5555,186407.7244481264,447688.060616895,186345.80527454443,447662.03417068534,67.16665809295837
B_10,521E521E,186407.7244481264,447688.060616895,186402.4163166581,447716.64262456493,29.07073136558814
B_11,2D1E4C2A,186406.90363120797,447663.07783785043,186376.48166722717,447671.45344541984,31.553869724739826
B_11,2D2D5555,186406.90363120797,447663.07783785043,186378.21600013864,447577.1734477082,90.56789951235777
B_11,521E521E,186406.90363120797,447663.07783785043,186395.01111601962,447629.66193391493,35.469064737198494
B_14,2D1E4C2A,186404.44119692655,447588.1294994996,186362.76945074595,447591.72118964314,41.826243769038875
B_14,2D2D5555,186404.44119692655,447588.1294994996,186358.5147385921,447524.2069225373,78.710453058359107
B_14,521E521E,186404.44119692655,447588.1294994996,186364.74627278224,447609.62672080484,45.142192311267515
B_15,2D1E4C2A,186403.62039098973,447563.1467196483,186361.34427640444,447612.69422652427,65.13236754525029
B_15,2D2D5555,186403.62039098973,447563.1467196483,186387.15566873693,447572.944590604,19.159471655702628
B_15,521E521E,186403.62039098973,447563.1467196483,186392.1304589978,447544.30777956895,22.066359022136908
B_16,2D1E4C2A,186402.79958779935,447538.16393959115,186380.45980095578,447564.3043551134,34.38586046463187
B_16,2D2D5555,186402.79958779935,447538.16393959115,186371.69153740536,447569.68123952224,44.28375542183768
B_16,521E521E,186402.79958779935,447538.16393959115,186393.18729666848,447603.628585417,66.16657761958652
B_17,2D1E4C2A,186401.9787873533,447513.18115933624,186361.1250355045,447558.90435490175,61.31590048956113
B_17,2D2D5555,186401.9787873533,447513.18115933624,186372.4378058481,447521.826287664,30.779990774741453
B_17,521E521E,186401.9787873533,447513.18115933624,186374.69594234473,447539.70472158975,38.050663415731336
B_18,2D1E4C2A,186401.1579896532,447488.1983788796,186347.9739646249,447582.67742527544,108.41969713148963
B_18,2D2D5555,186401.1579896532,447488.1983788796,186351.6682644312,447532.95144877513,66.72383507881491
B_18,521E521E,186401.1579896532,447488.1983788796,186355.58481246687,447515.90697604977,53.33554945809552
B_19,2D1E4C2A,186392.59168779448,447988.6748012394,186341.84418783555,447943.4132937589,67.99935890500102
B_19,2D2D5555,186392.59168779448,447988.6748012394,186357.7755212453,447959.8027395774,45.23009393969557
B_19,521E521E,186392.59168779448,447988.6748012394,186348.82570117246,447968.38574426866,48.24010175943551
B_2,2D1E4C2A,186414.29108230793,447887.92284207226,186400.7645298886,447873.8216076141,19.540021330503805
B_2,2D2D5555,186414.29108230793,447887.92284207226,186387.48237127217,447925.48472617,46.14761233663139
B_2,521E521E,186414.29108230793,447887.92284207226,186389.7532973966,447929.3626427119,48.159733859399296
B_20,2D1E4C2A,186391.77083773172,447963.6920218405,186356.13351981866,447951.86569550016,37.548374435444
B_20,2D2D5555,186391.77083773172,447963.6920218405,186355.6854407713,447953.70841482334,37.44099735400895
B_20,521E521E,186391.77083773172,447963.6920218405,186367.1320461925,447961.8872950724,24.70479887026518
B_21,2D1E4C2A,186390.94999041484,447938.7092422332,186419.7387860771,447901.1495700864,47.323606450254395
B_21,2D2D5555,186390.94999041484,447938.7092422332,186387.7519339362,447929.9510391286,9.323823618132085
B_21,521E521E,186390.94999041484,447938.7092422332,186393.93618854138,447948.99250990537,10.708079812391022
B_22,2D1E4C2A,186390.1291458436,447913.7264624414,186359.6148927353,447866.1826537872,56.49365791044868
B_22,2D2D5555,186390.1291458436,447913.7264624414,186397.4528388785,447888.5763861201,26.19470974519802
B_22,521E521E,186390.1291458436,447913.7264624414,186398.9322939086,447869.5027281202,45.0913971081609
B_23,2D1E4C2A,186389.308304017,447888.7436824548,186385.28751557038,447834.2028391294,54.688850146826574
B_23,2D2D5555,186389.308304017,447888.7436824548,186408.9790989646,447868.12770245003,28.494890865340995
B_23,521E521E,186389.308304017,447888.7436824548,186406.03230510966,447908.045868503,25.53951054319536
B_24,2D1E4C2A,186388.4874649356,447863.76090225636,186355.4375449205,447844.01316739776,38.500262921824465
B_24,2D2D5555,186388.4874649356,447863.76090225636,186405.7209042783,447896.20325317385,36.735508226135785
B_24,521E521E,186388.4874649356,447863.76090225636,186408.79308887245,447894.8069219526,37.09681526011166
B_3,2D1E4C2A,186413.47024342607,447862.9400646252,186336.41209205164,447816.6356003487,89.90028979472203
B_3,2D2D5555,186413.47024342607,447862.9400646252,186376.20978471352,447871.1931073682,38.16352313385082
B_3,521E521E,186413.47024342607,447862.9400646252,186391.87798873833,447860.9901880946,21.680117181064894
B_4,2D1E4C2A,186412.64940729007,447837.9572869847,186363.788084103,447770.48802108,83.30384592151914
B_4,2D2D5555,186412.64940729007,447837.9572869847,186391.17393601802,447838.61800183385,21.48563265227102
B_4,521E521E,186412.64940729007,447837.9572869847,186398.16858114384,447794.124843438,46.16251112271978
B_5,2D1E4C2A,186411.8285738986,447812.97450913256,186355.93437415303,447776.157493028,66.93021918417197
B_5,2D2D5555,186411.8285738986,447812.97450913256,186399.75645483556,447846.7784704112,35.89490015029407
