tag,cp,error,x_cal,y_cal,x_est,y_est,node_count,round,dets,habitat
2D2D5555,B_15,34.136681241047825,186403.62039098973,447563.1467196483,186392.9275114759,447530.7279699214,8,one,NA,2_3
521E521E,B_15,48.9538151902519,186403.62039098973,447563.1467196483,186401.79425811447,447514.226976595,9,one,NA,2_3
2D1E4C2A,B_16,26.848150356714445,186402.79958779935,447538.16393959115,186411.77198194363,447512.85940796346,14,one,NA,3
521E521E,B_16,89.99412335603101,186402.79958779935,447538.16393959115,186405.75474629624,447628.1095302384,9,one,NA,3
2D2D5555,B_16,23.103509651433377,186402.79958779935,447538.16393959115,186386.50257360004,447521.78775302647,9,one,NA,3
071E2A4C,B_16,77.06069699672065,186402.79958779935,447538.16393959115,186366.47817563717,447470.1999341165,21,two,281,3
07610752,B_16,77.14017809958312,186402.79958779935,447538.16393959115,186366.3429727538,447470.18216043926,21,two,304,3
554B554C,B_16,77.04673350392854,186402.79958779935,447538.16393959115,186366.48854322967,447470.2102260364,19,two,198,3
2D1E4C2A,B_17,30.525513569975143,186401.9787873533,447513.18115933624,186427.5369106169,447529.8721543321,11,one,NA,2_3
521E521E,B_17,24.345491385303543,186401.9787873533,447513.18115933624,186385.47647626308,447531.0802285711,10,one,NA,2_3
2D2D5555,B_17,44.334423568839426,186401.9787873533,447513.18115933624,186369.71473758097,447482.7743803968,5,one,NA,2_3
071E2A4C,B_17,51.219356905803465,186401.9787873533,447513.18115933624,186362.27230786104,447480.82659229886,17,two,292,2_3
07610752,B_17,52.17753331939671,186401.9787873533,447513.18115933624,186361.61549846665,447480.11607361806,18,two,302,2_3
554B554C,B_17,51.49151577136966,186401.9787873533,447513.18115933624,186362.18748537885,447480.5004542702,17,two,218,2_3
2D1E4C2A,B_18,77.44005647869207,186401.1579896532,447488.1983788796,186379.315887976,447562.4943070435,14,one,NA,3
2D2D5555,B_18,62.09781865451544,186401.1579896532,447488.1983788796,186341.1181069557,447472.34430787805,9,one,NA,3
521E521E,B_18,60.8317638135461,186401.1579896532,447488.1983788796,186342.22537292872,447473.11692753446,9,one,NA,3
071E2A4C,B_18,39.32996321328451,186401.1579896532,447488.1983788796,186361.9349561695,447485.30016379134,17,two,222,3
07610752,B_18,39.8888860643257,186401.1579896532,447488.1983788796,186361.4138515843,447484.8032764341,19,two,295,3
554B554C,B_18,39.17446991032664,186401.1579896532,447488.1983788796,186362.08912184328,447485.32389443746,15,two,239,3
2D1E4C2A,B_19,18.57680719375539,186392.59168779443,447988.6748012394,186375.78184867295,447980.7673949501,16,one,NA,3
2D2D5555,B_19,35.424474862608,186392.59168779443,447988.6748012394,186372.5962690924,447959.4331075432,10,one,NA,3
521E521E,B_19,18.16237802251262,186392.59168779443,447988.6748012394,186382.54635492657,447973.5432691621,10,one,NA,3
071E2A4C,B_19,45.426521196134544,186392.59168779443,447988.6748012394,186347.64175612573,447995.23776329623,22,two,229,3
