k,tag,cp,error,x_cal,y_cal,x_est,y_est,node_count
9,332D1907,WNC_40,61.87164044897791,186399.80948931345,447695.77082521515,186386.23213573694,447756.1343519652,11
9,2A4C3361,WNC_41,47.72625022765703,186161.9718346601,448075.011756653,186119.11343413198,448054.0128884701,29
9,784C3352,WNC_41,57.42520352972692,186161.9718346601,448075.011756653,186124.53902444022,448031.46363706706,34
9,332D1907,WNC_41,49.44774659767184,186161.9718346601,448075.011756653,186113.14717886742,448067.186628519,13
9,784C3352,WNC_42,35.956937337586794,186386.4226818036,447825.9674866376,186422.15016417453,447830.02314270474,26
9,2A4C3361,WNC_42,50.574671226683996,186386.4226818036,447825.9674866376,186432.4304180527,447804.9654492383,22
9,332D1907,WNC_42,49.540361353235134,186386.4226818036,447825.9674866376,186424.1910919461,447793.90825086506,12
9,2A4C3361,WNC_43,33.176228029264024,186451.73389206524,447832.5063137676,186419.8318888117,447823.4000360066,22
9,784C3352,WNC_43,37.23239055166671,186451.73389206524,447832.5063137676,186434.03936851674,447865.26535439125,27
9,332D1907,WNC_43,53.21424291015953,186451.73389206524,447832.5063137676,186401.61340159344,447814.6263785505,12
9,2A4C3361,WNC_44,43.7462419054193,186425.58915267242,447853.36169849033,186414.2378886041,447811.11382890027,18
9,784C3352,WNC_44,5.47513348192958,186425.58915267242,447853.36169849033,186420.62922650235,447851.04303097806,24
9,332D1907,WNC_44,97.2351652238541,186425.58915267242,447853.36169849033,186374.6415300587,447770.5425152891,8
9,784C3352,WNC_45,36.9567715548726,186431.0952848018,447894.4577239034,186398.61097941728,447912.08080159844,22
9,2A4C3361,WNC_45,16.18086594832178,186431.0952848018,447894.4577239034,186416.10571631312,447888.36401736626,17
9,332D1907,WNC_45,110.23848569320403,186431.0952848018,447894.4577239034,186376.74538209414,447798.54833018413,8
9,2A4C3361,WNC_46,36.69614687426086,186372.363663439,447911.330993257,186400.08056168188,447935.3805410118,18
