cp,tag,x_cal,y_cal,x_est,y_est,error
C_2,782D5207,186386.84579500952,447813.7953412723,186370.625,447860.25,49.20517765689428
C_20,4B2A5555,186365.14636500546,447914.547305762,186349.59375,447906.5,17.51122393025412
C_20,55346178,186365.14636500546,447914.547305762,186307.125,447952.6875,69.43452465170978
C_20,782D5207,186365.14636500546,447914.547305762,186377.359375,447927.875,18.077196874182135
C_21,4B2A5555,186364.32552297984,447889.56452302565,186354.375,447899.28125,13.907828395057503
C_21,55346178,186364.32552297984,447889.56452302565,186333.890625,447889.9375,30.43718329390113
C_21,782D5207,186364.32552297984,447889.56452302565,186349.234375,447813.0625,77.97629302785714
C_22,4B2A5555,186363.50468369978,447864.5817400806,186382.3125,447890.5625,32.073880962112284
C_22,55346178,186363.50468369978,447864.5817400806,186371.25,447850.15625,16.373291930955677
C_22,782D5207,186363.50468369978,447864.5817400806,186394.484375,447783.84375,86.47753647805861
C_23,4B2A5555,186362.68384716418,447839.5989569453,186382.9375,447822.46875,26.526485692274235
C_23,55346178,186362.68384716418,447839.5989569453,186382.328125,447843.09375,19.95272488122919
C_23,782D5207,186362.68384716418,447839.5989569453,186398.359375,447831.21875,36.646570846535745
C_3,4B2A5555,186386.02496416407,447788.81256047747,186387.875,447727.375,61.46540872732276
C_3,55346178,186386.02496416407,447788.81256047747,186350.390625,447737.53125,62.4466086504821
C_3,782D5207,186386.02496416407,447788.81256047747,186425.484375,447732.3125,68.91517929655537
C_4,4B2A5555,186385.20413606465,447763.82977948117,186410.1875,447717.25,52.85682860369114
C_4,55346178,186385.20413606465,447763.82977948117,186362.890625,447761.46875,22.438075591355684
C_4,782D5207,186385.20413606465,447763.82977948117,186297.59375,447735.0625,92.21245097678141
C_5,4B2A5555,186384.3833107096,447738.84699829447,186377.265625,447745.28125,9.594844702808517
C_5,55346178,186384.3833107096,447738.84699829447,186347.421875,447749.65625,38.50957870646649
C_5,782D5207,186384.3833107096,447738.84699829447,186349.84375,447645.75,99.29769556970076
C_6,4B2A5555,186383.56248810005,447713.86421690555,186421.625,447736.0625,44.062666561099974
C_6,55346178,186383.56248810005,447713.86421690555,186427.609375,447699,46.48734440459983
C_6,782D5207,186383.56248810005,447713.86421690555,186405.125,447728.28125,25.938249028831088
C_7,4B2A5555,186382.74166823577,447688.88143531414,186411.78125,447599.28125,94.18859016552172
C_7,55346178,186382.74166823577,447688.88143531414,186330.359375,447653.9375,62.968113040466136
C_7,782D5207,186382.74166823577,447688.88143531414,186441.359375,447717.71875,65.32707145271824
C_8,4B2A5555,186381.9208511173,447663.8986535168,186387.90625,447686.90625,23.773398909703044
C_8,55346178,186381.9208511173,447663.8986535168,186396.140625,447687.21875,27.313529051774356
C_8,782D5207,186381.9208511173,447663.8986535168,186330.109375,447733.59375,86.84374203854956
D_1,07610752,186361.04218232975,447789.6333900729,186267.375,447763.59375,97.21935970125199
D_1,34191966,186361.04218232975,447789.6333900729,186390,447766.875,36.83068724493215
D_1,78335578,186361.04218232975,447789.6333900729,186365.359375,447791.84375,4.850138509294972
D_12,07610752,186352.01322200985,447514.82275793125,186383.890625,447543.4375,42.83657648619572
D_12,34191966,186352.01322200985,447514.82275793125,186424.4375,447577.8125,95.98428854912973
D_12,78335578,186352.01322200985,447514.82275793125,186318.21875,447574.59375,68.66322036801537
D_13,07610752,186351.19242390522,447489.8399719803,186364.234375,447515.28125,28.589353186697533
D_13,34191966,186351.19242390522,447489.8399719803,186331.40625,447471,27.321003312954254
D_13,78335578,186351.19242390522,447489.8399719803,186360.765625,447501.46875,15.062358959748517
D_14,07610752,186350.37162854616,447464.85718583665,186312.265625,447511.9375,60.569162846943186
D_14,34191966,186350.37162854616,447464.85718583665,186289.8125,447495.40625,67.82811637902388
D_14,78335578,186350.37162854616,447464.85718583665,186351.59375,447550.25,85.40155906998781
D_15,07610752,186349.5508359318,447439.8743994716,186298.296875,447475.75,62.56218685811199
D_15,34191966,186349.5508359318,447439.8743994716,186362.3125,447524.40625,85.48972934535543
D_15,78335578,186349.5508359318,447439.8743994716,186292.859375,447513.375,92.82381171129039
D_16,07610752,186343.44697776978,448015.299289238,186376.75,448009.125,33.870534942054064
D_16,34191966,186343.44697776978,448015.299289238,186346.59375,448029.125,14.179296651928416
